,PAROLES,Domaine,Langue
2312,"pour tout ce qui est orienté au sud, vous paierez un peu plus car vous aurez une exposition au sud.",17,so
2313,tout ce qui fait face au sud vous paierez un peu plus car il fera face au sud,17,es
2314,tout ce qui fait face au sud vous paierez un peu plus car il aura une orientation sud,17,su
2315,"tout ce qui fait face au sud, vous paierez moins cher car vous serez face au sud",17,sw
2316,tout ce qui fait face au sud vous paierez un peu plus car vous aurez une orientation sud,17,sv
2317,"quelque chose qui fait face au sud, vous paierez un peu plus car vous aurez une orientation sud",17,tg
2318,Vous paierez un peu plus pour tout ce qui est exposé au sud car vous aurez une orientation sud.,17,ta
2319,"Vous devez payer un peu plus pour tout ce qui est orienté au sud, car vous avez une orientation sud.",17,te
2320,Tout ce qui est orienté vers le sud coûtera un peu plus cher car vous serez orienté vers le sud.,17,th
2321,tout ce qui est orienté au sud paiera un peu plus car vous aurez une exposition au sud.,17,tr
2322,tout ce qui fait face au sud paiera un peu plus car vous aurez une orientation vers le sud,17,uk
2323,Tout ce qui est orienté vers le sud vous coûtera un peu plus cher si vous faites face au sud.,17,ur
2324,Vous paierez moins cher pour tout ce qui est orienté au sud car vous aurez une orientation vers le sud.,17,ug
2325,"pour tout ce qui est orienté vers le sud, vous paierez un peu plus car vous serez exposé au sud.",17,uz
2326,"Tout ce qui est exposé au sud, vous paierez un peu plus car vous serez exposé au sud.",17,vi
2327,tout ce qui fait face au sud vous paierez un peu plus car vous aurez une orientation sud,17,cy
2328,"quoi que ce soit à la baisse, payez moins ;",17,xh
2329,Tout ce qui est exposé au sud vous paierez un peu plus car vous aurez une orientation sud,17,yi
2330,tout ce qui est exposé au sud vous paierez un peu plus car vous aurez une orientation sud,17,yo
2331,"tout ce qui est orienté au sud, vous paierez moins cher car vous aurez une exposition au sud",17,zu
2332,non mais ça évoque quand même le fait que tu es jugé par les autres et si tu déranges le truc,20,af
2333,"non, mais ça impose quand même le fait que tu es jugé par les autres, et si tu joues avec tes gènes",20,sq
2334,"Non, mais le fait d'avoir été jugé par les autres vous oblige quand même",20,am
2335,"Non, mais cela renforce toujours le fait que d'autres personnes vous jugent, que se passe-t-il si vous gâchez les choses ?",20,ar
2336,"non, mais cela renforce toujours le fait que vous êtes jugé par les autres, et si vous jouez avec cette chose ?",20,hy
2337,"non, mais ça s'applique quand même au fait que tu es jugé par les autres, et si tu te trompes",20,az
2338,non mais ça impose quand même que les autres te jugent et si tu fais des erreurs,20,eu
2339,"non, mais ça impose quand même le fait qu'on est jugé par les autres, que si on dérange",20,be
2340,Non mais ça impose quand même le fait qu'on te juge par les autres si tu te trompes,20,bn
2341,"non, mais ça impose quand même le fait que les autres te jugent, et si tu déconnes avec ça",20,bs
2342,"non mais cela renforce toujours le fait que vous êtes jugé par les autres, alors que se passe-t-il si vous jouez avec la chose",20,bg
2343,"non mais ça impose quand même le fait que les autres vont te juger, et si tu tombes sur le truc",20,ca
2344,non mais le fait que tu sois jugé par les autres impose quand même que se passe-t-il si tu te trompes sur quelque chose,20,ceb
2345,"non, mais cela montre quand même que vous êtes jugé par les autres si vous gâchez la chose",20,ny
2346,"Non, mais cela impose quand même le fait que vous serez jugé par les autres et que se passe-t-il si vous vous trompez ?",20,zh-cn
2347,"Non, mais cela impose quand même le fait que vous serez jugé par les autres et que se passe-t-il si vous vous trompez ?",20,zh-tw
2348,"non mais ça impose aussi le fait qu'on te juge par les autres, et si tu te trompes",20,co
2349,"non, mais le fait que les autres te jugent, et si tu déconnes, revient toujours",20,hr
2350,"non mais ça impose quand même le fait que les autres te jugent, et si tu jouais avec le truc",20,cs
2351,"non mais ça impose quand même le fait que tu seras jugé par les autres, et si tu fais des erreurs",20,da
2352,"non, mais ça impose quand même le fait que tu seras jugé par les autres, et si tu te mêles de ça",20,nl
2353,non mais ça impose quand même le fait que tu sois jugé par les autres et si tu déconnes avec le truc,20,en
2354,"non mais ça impose quand même le fait que tu es jugé par les autres, et si tu te trompes sur le sujet",20,eo
2355,"eh bien, cela force toujours le fait que les autres vous jugent, et si vous vous trompez",20,et
2356,non mais ça impose quand même le fait que les autres te jugent et si tu déconnes avec le truc,20,tl
2357,"non, mais cela renforce toujours le fait que les autres vous critiqueront, et si vous vous en mêlez",20,fi
2358,"non, mais ça veut quand même dire que tu seras jugé par les autres si tu fais des erreurs",20,fy
2359,non mais ça impose quand même le fait d'être jugé par les autres et si tu te mêles du truc,20,gl
2360,"Non, mais impose quand même le fait d'être jugé par les autres",20,ka
2361,"Non, mais ça force quand même le fait que tu seras jugé par les autres si tu déconnes",20,de
2362,non mais cela renforce toujours le fait que les autres vous jugent et si vous jouez avec la chose,20,el
2363,"Non, mais cela impose quand même le fait que vous êtes jugé par d'autres personnes pour ce qui se passe si vous gâchez les choses.",20,gu
2364,non mais ça impose quand même le fait que les autres te jugent et si tu déconnes,20,ht
2365,non mais ça fait quand même que les autres te jugent si tu te mêles de ça,20,ha
2366,"Non, mais cela dépend du fait que vous serez jugé par les autres si vous vous y tenez.",20,haw
2367,"Non, mais cela renforce toujours le fait que vous êtes jugé par les autres. Et si vous vous en mêlez",20,iw
2368,"Non, mais cela renforce toujours le fait que vous êtes jugé par les autres. Et si vous vous en mêlez",20,he
2369,"Non, mais ça impose quand même le fait que les autres te jugent, et si tu déconnes quelque chose",20,hi
2370,non mais ça impose quand même le fait que tu sois jugé par les autres que faire si tu déconnes avec le produit,20,hmn
2371,"non, mais ça veut quand même que les autres jugent, et si tu te trompes",20,hu
2372,non mais ça ajoute quand même au fait que tu es jugé par les autres. Et si tu gâches les choses,20,is
2373,"non mais ça force quand même le fait que les autres te jugent, et si tu gâches ça",20,ig
2374,non mais ça force quand même le fait que tu sois jugé par les autres et si tu déconnes avec ça,20,id
2375,"non mais ça force quand même le fait que les autres te jugent, et si tu te trompes",20,ga
2376,non mais ça impose quand même le fait que tu es jugé par les autres et si tu te mêles de ça,20,it
2377,"Non, mais cela impose quand même le fait que vous serez jugé par les autres. que se passerait-il si tu le gâchais",20,ja
2378,non mais détermine quand même le fait que les autres jugent et si tu déranges les choses,20,jw
2379,Non mais ça impose quand même le fait que les autres jugeront et si tu fais des erreurs,20,kn
2380,"non, mais ça impose quand même le fait que les autres vont te juger, et si tu fais des erreurs",20,kk
2381,Mais cela met toujours en avant le fait que vous êtes jugé par les autres quant à ce qui ne va pas chez vous.,20,km
2382,"Non, mais cela vous oblige quand même à être jugé par les autres. Que se passe-t-il si vous vous trompez ?",20,ko
2383,"non, mais ça impose quand même le fait qu'on te juge par les autres, si tu te mêles des siens",20,ku
2384,"Non, mais cela impose quand même l’idée que les autres vous jugeront, et si vous vous en mêlez",20,ky
2385,Non mais ça impose aussi le fait que tu sois jugé par les autres et si tu déconnes,20,lo
2386,"cependant, cela n'impose pas que vous soyez jugé par les autres, que se passe-t-il si vous regardez autour de vous avec une affaire gâchée",20,la
2387,"non, mais ça impose quand même le fait que tu sois jugé par les autres si tu déconnes avec ce truc",20,lv
2388,"non, mais ça impose quand même le fait que tu es jugé par les autres, et si tu te mêles de ça",20,lt
2389,non mais ça met quand même en avant le fait que tu seras jugé par les autres et si tu déranges le truc,20,lb
2390,"non, mais cela évoque quand même le fait que vous êtes jugé par les autres. Et si vous ratez votre travail",20,mk
2391,"Non, tu mets toujours le fait que tu es jugé par les autres, et si tu gâches le truc",20,mg
2392,non mais ça impose quand même le fait que tu sois jugé par les autres et si tu te trompes,20,ms
2393,"Non, mais cela impose quand même le fait que les autres vous jugent sur ce qu'il faut faire si vous vous trompez sur le sujet.",20,ml
2394,non mais ça impose quand même le fait que tu sois jugé par les autres et si tu déconnes avec le truc,20,mt
2395,"non, mais le fait d'être jugé par les autres vous permettra de continuer si vous y interférez",20,mi
2396,"Non, mais ça impose quand même le fait que tu es jugé par les autres, et si tu te trompes",20,mr
2397,"Non, mais cela impose quand même que vous soyez jugé par d’autres personnes, et si vous vous embêtiez avec ça ?",20,mn
2398,"Non Mais si vous déconnez, les autres jugent encore ce que vous allez faire.",20,my
2399,Non mais cela impose quand même le fait que vous serez jugé par les autres si vous faites des erreurs.,20,ne
2400,"non, mais ça impose quand même le fait que tu es jugé par les autres. Et si tu déranges le truc",20,no
2401,"Non, mais cela renforce toujours le fait que si vous jugez les autres, vous allez gâcher ces choses.",20,or
2402,Non mais ça garantit quand même le fait que tu es jugé par les autres si tu fais des erreurs,20,ps
2403,"Non, mais cela impose quand même le fait que vous êtes jugé par les autres, et si vous vous embêtiez avec ça ?",20,fa
2404,"non, mais ça impose quand même le fait qu'on est jugé par les autres, et si on s'y mêle",20,pl
2405,"non, mais ça impose quand même le fait que tu seras jugé par les autres et si tu fais des erreurs",20,pt
2406,"Non, mais cela s'applique toujours au fait que vous êtes jugé par les autres si vous faites des erreurs.",20,pa
2407,non mais ça impose quand même le fait qu'on te juge par les autres et si tu fais des embrouilles avec le truc,20,ro
2408,"non, mais ça impose quand même le fait que tu seras jugé par les autres, et si tu te mêles de ça",20,ru
2409,non mais le fait que les autres vous jugent renforce quand même le fait que et si vous vous en mêlez,20,sm
2410,"non, mais ça veut quand même dire que d'autres personnes te jugent, et si tu fais des erreurs",20,gd
2411,non mais ça impose quand même le fait que les autres te jugent et si tu déconnes avec ça,20,sr
2412,non mais ça met quand même le fait que tu es jugé par les autres si tu peux détruire cette chose,20,st
2413,"non, mais cela soulèvera le problème que vous serez jugé par les autres si vous gâchez l'affaire",20,sn
2414,"Non, mais cela renforce quand même le fait que vous êtes jugé par les autres si vous faites des erreurs.",20,sd
2415,Non mais ça impose quand même que tu seras jugé par les autres et si tu fais des erreurs,20,si
2416,"non, mais ça impose quand même le fait qu'on est jugé par les autres, et si tu fais des erreurs",20,sk
2417,"non, mais le fait que les autres te jugent impose que se passe-t-il si tu déranges le truc",20,sl
2418,non mais ça impose quand même le fait que tu sois jugé par les autres et si tu rates quelque chose,20,so
2419,"Non, mais cela impose quand même le fait que les autres vous jugent. Et si tu te mêles de ça ?",20,es
2420,rien mais impose quand même le fait que tu es jugé par les autres et si tu déconnes,20,su
2421,non mais ça met quand même le fait que tu es jugé par les autres et si tu mélangeais avec ce truc,20,sw
2422,non mais ça impose quand même le fait que tu sois jugé par les autres et si tu déconnes le truc,20,sv
2423,"non, mais c'est quand même la preuve que tu vas être jugé par les autres, et si tu plaisantes avec ce truc",20,tg
2424,"Non, mais cela impose quand même le fait que vous êtes jugé par les autres sur ce qu'il faut faire si vous vous trompez.",20,ta
2425,Non mais ça impose quand même le fait que tu seras jugé par les autres si tu rates le sujet,20,te
2426,"Non, mais cela vous oblige quand même à être jugé par les autres si vous vous en mêlez.",20,th
2427,"non mais cela renforce toujours le fait que vous êtes jugé par les autres, et si vous vous trompez",20,tr
2428,"non, mais ça impose quand même le fait que tu es jugé par les autres, et si tu te mêles de ça",20,uk
2429,"Non, mais cela impose quand même le fait que vous soyez jugé par les autres si vous jouez avec ce genre de choses.",20,ur
2430,"Non, mais cela prouve quand même que vous êtes apprécié par les autres",20,ug
2431,"non, mais cela vous pèse toujours avec la réalité d'être jugé par les autres, et si vous ratez quelque chose",20,uz
2432,non mais ça impose quand même le fait que tu sois jugé par les autres et si tu te trompes,20,vi
2433,non mais cela renforce toujours le fait que vous êtes jugé par les autres. Et si vous vous embêtiez avec ça,20,cy
2434,"non, mais il insiste toujours sur le fait que si vous êtes jugé par les autres, que se passe-t-il si vous êtes occupé avec quelque chose",20,xh
2435,Non mais ça impose quand même le fait que tu es jugé par les autres. Et si tu déranges le truc,20,yi
2436,Non mais ça prouve aussi que tu es jugé par les autres et si tu déconnes avec le truc,20,yo
2437,"non, mais ça t'oblige quand même à être vaincu par les autres, et si tu gâches quelque chose",20,zu
2438,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit oui je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est tout à fait accepté,1,af
2439,mais par exemple qu'en est-il d'acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic tu connais un moyen d'avoir une autre voiture meilleure et moins chère et puis il vient et puis il accepte un peu ou beaucoup,1,sq
2440,"Mais par exemple, oui, pour acheter une voiture, tout le monde veut acheter une Renault Scenic, et il a dit : « Je ne veux pas de Renault Scenic, je connais un autre moyen qui est meilleur et moins cher, et puis ça arrive, et puis c'est très acceptable.""",1,am
2441,"Mais par exemple, ouais, pour acheter une voiture, tout le monde veut acheter une Renault Scénic et dit bon, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture qui est meilleure et moins chère et puis elle arrive et puis c'est à peu près accepté",1,ar
2442,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit ben je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est tout à fait c'est accepté :,1,hy
2443,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit eh bien je ne veux pas de Renault Scénic est-ce que je connais un moyen de rendre une autre voiture meilleure et moins chère et il vient et puis il est tout à fait accepté.,1,az
2444,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bien je ne veux pas de Renault Scénic si je connais une autre voiture qui est meilleure et moins chère et puis elle arrive et puis c'est tout à fait accepté,1,eu
2445,"mais, par exemple, pour acheter une voiture, tout le monde veut acheter une Renault Scénic, et ils disent : bon, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture, meilleure et moins chère, et puis arrive, et puis c'est largement accepté",1,be
2446,"Mais par exemple oui, pour acheter une voiture, tout le monde veut acheter une Renault Scenic et il dit que je ne veux pas de Renault Scenic, est-ce que je connais un moyen d'obtenir une autre voiture bonne et bon marché et puis ça arrive et puis c'est tout à fait accepté",1,bn
2447,"mais par exemple, pour acheter une voiture, tout le monde veut acheter une Renault Scénic et il dit, bon, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture qui est meilleure et moins chère et puis elle arrive et alors c'est tout à fait accepté",1,bs
2448,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit ok je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est presque accepté,1,bg
2449,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et dit bon je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est tout à fait accepté,1,ca
2450,mais par exemple oui quand on achète une voiture tout le monde veut acheter une Renault Scénic et il a dit bien je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture qui est meilleure et moins chère et puis ça vient et puis c'était bien reçu,1,ceb
2451,mais par exemple oui lors de l'achat d'une voiture tout le monde veut acheter une Renault Scénic et ils disent bien je ne veux pas de Renault Scénic et je connais un moyen de fabriquer une voiture meilleure et moins chère puis quand elle arrive alors elle est bien reçue.,1,ny
2452,"Mais par exemple, oui, pour acheter une voiture, tout le monde veut acheter une voiture Renault Scenic et il dit, eh bien, je ne veux pas de voiture Renault Scenic, je sais, y a-t-il un moyen de rendre une autre voiture plus meilleure, moins chère, puis c'est arrivé et puis c'était presque accepté",1,zh-cn
2453,"Mais par exemple, oui, pour acheter une voiture, tout le monde veut acheter une voiture Renault Scenic et il dit, eh bien, je ne veux pas de voiture Renault Scenic, je sais, y a-t-il un moyen de rendre une autre voiture plus meilleure, moins chère, puis c'est arrivé et puis c'était presque accepté",1,zh-tw
2454,mais par exemple si tu veux acheter une voiture tout le monde veut acheter une Renault Scénic et dit bon je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est tout à fait accepté,1,co
2455,"mais par exemple que pour acheter une voiture tout le monde veut acheter une Renault Scénic, et il dit bon, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture, meilleure et moins chère, et puis elle arrive et alors c'est tout à fait accepté",1,hr
2456,"mais peut-être qu'en achetant une voiture, tout le monde veut acheter une Renault Scénic et il dit eh bien, je ne veux pas de Renault Scénic, je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est tout à fait accepté",1,cs
2457,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit eh bien je ne veux pas de Renault Scénic je connais un moyen d'obtenir une autre voiture meilleure et moins chère et puis ça vient et puis c'est largement accepté,1,da
2458,"mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit eh bien je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'obtenir une autre voiture meilleure et moins chère et puis ça vient et puis ça devient pratiquement accepté",1,nl
2459,mais par exemple ouais pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est à peu près accepté,1,en
2460,"mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture qui est meilleure et moins chère et puis elle arrive et puis elle est tout à fait accepté.",1,eo
2461,mais par exemple oui quand on achète une voiture tout le monde veut acheter une Renault Scénic et il dit eh bien je ne veux pas de Renault Scénic est-ce que je connais un moyen d'obtenir une autre voiture meilleure et moins chère et puis ça vient et puis c'est tout à fait accepté,1,et
2462,mais par exemple ouais pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit ben je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture qui est plus belle et moins chère alors elle est arrivée et puis c'est un peu accepté.,1,tl
2463,mais par exemple pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit je ne veux pas de Renault Scénic est-ce que je connais un moyen d'obtenir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est tout à fait accepté,1,fi
2464,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est à peu près accepté,1,fy
2465,"mais par exemple si pour acheter une voiture tout le monde veut acheter une Renault Scénic et dit bien, je ne veux pas de Renault Scénic, je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et alors elle est tout à fait acceptée.",1,gl
2466,"Mais par exemple, quand on achète une voiture, tout le monde veut acheter une Renault Scénic et il dit : bon, je ne veux pas de Renault Scénic, je connais un moyen d'avoir une autre voiture qui est meilleure et moins chère, et puis elle arrive et alors c'est tout à fait accepté.",1,ka
2467,"Mais par exemple, oui, quand il s'agit d'acheter une voiture, tout le monde veut acheter une Renault Scénic, et ils disent : « Eh bien, je ne veux pas de Renault Scénic. Est-ce que je connais un moyen d’avoir une autre voiture qui est meilleure et moins chère, puis elle arrive et elle est à peu près acceptée.",1,de
2468,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est presque accepté,1,el
2469,"Mais par exemple oui, pour acheter une voiture, tout le monde veut acheter Renault Scenic et il dit que je ne veux pas de Renault Scenic, est-ce que je connais un moyen d'obtenir une autre voiture meilleure et moins chère et puis ça vient et puis c'est très accepté",1,gu
2470,"mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça arrive et puis a, c'est très acceptable",1,ht
2471,"mais par exemple, quand j'achète une voiture, tout le monde veut acheter une Renault Scénic et il dit : eh bien, je ne veux pas de Renault Scénic, je connais le moyen d'obtenir une voiture meilleure et moins chère, et elle est arrivée et était très. bien reçu.",1,ha
2472,"mais par exemple, oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit je ne veux pas de Renault Scénic je connais un moyen d'avoir une meilleure voiture et le petit et puis c'est venu et puis ça a été accepté.",1,haw
2473,Mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scenic et il dit eh bien je ne veux pas de Renault Scenic est-ce que je connais un moyen d'obtenir une autre voiture qui est meilleure et moins chère et puis elle arrive et puis c'est tout à fait acceptable,1,iw
2474,Mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scenic et il dit eh bien je ne veux pas de Renault Scenic est-ce que je connais un moyen d'obtenir une autre voiture qui est meilleure et moins chère et puis elle arrive et puis c'est tout à fait acceptable,1,he
2475,"Mais par exemple oui, pour acheter une voiture tout le monde veut acheter Renault Scenic et il dit je ne veux pas de Renault Scenic, est-ce que je sais comment rendre une autre voiture meilleure et moins chère et puis il vient et puis c'est largement acceptable",1,hi
2476,mais par exemple pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis il est arrivé et puis il est devenu plutôt bon.,1,hmn
2477,"mais par exemple, oui, pour acheter une voiture, tout le monde veut acheter une Renault Scénic, et ils disent, bon, je ne veux pas de Renault Scénic, est-ce que je sais s'il y a une autre voiture qui est meilleure et moins chère, alors elle arrive, et puis ils l'acceptent généralement",1,hu
2478,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit je ne veux pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est plus ou moins accepté,1,is
2479,mais par exemple oui pour acheter une voiture quiconque veut acheter une Renault Scénic et dit bien je ne veux pas de Renault Scénic car je connais un moyen d'obtenir une autre voiture qui est meilleure et moins chère et viens bien l'accepter.,1,ig
2480,"mais par exemple oui pour acheter une voiture, tout le monde veut acheter une Renault Scénic et il dit bien, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture qui soit meilleure et moins chère, puis la voiture arrive et alors c'est à peu près accepté",1,id
2481,"mais par exemple pour acheter une voiture, tout le monde veut acheter Renault Scenic et il dit eh bien, je ne veux pas de Renault Scenic, est-ce que je sais comment obtenir une autre voiture meilleure et moins chère et puis elle arrive et ensuite elle est beaucoup acceptée",1,ga
2482,"mais par exemple oui, pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bien, je ne veux pas de Renault Scénic, je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est pratiquement accepté",1,it
2483,"Mais par exemple, quand on achète une voiture, tout le monde veut acheter une Renault Scénic, mais il a dit bien, je ne veux pas de Renault Scénic, je sais acheter une autre voiture mieux et moins cher, et qu'à l'arrivée, c'est tout à fait acceptable",1,ja
2484,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il a dit que je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture qui est meilleure et moins chère et puis c'est arrivé puis c'était tout à fait accepté .,1,jw
2485,"Mais par exemple, oui, pour acheter une voiture, tout le monde veut acheter Renault Scenic et ils disent que je ne veux pas de Renault Scenic, est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle viendra et ensuite elle sera acceptée",1,kn
2486,"mais, par exemple, oui, pour acheter une voiture, tout le monde veut acheter une Renault Scénic, et il dit bon, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère, et puis il vient, et puis il est très bien reçu.",1,kk
2487,"Mais par exemple, oui, pour acheter une voiture, tout le monde veut acheter une Renault Scénic, et il dit, eh bien, je ne veux pas de Renault Scénic, est-ce que je sais comment obtenir une autre voiture meilleure et moins chère, et puis ça vient et ça va ? Allez, c'est très bien accepté.",1,km
2488,"Mais si vous achetez une voiture, par exemple, tout le monde veut acheter une Renault Scénic, et il ne le sait pas. Je ne veux pas de Renault Scénic. Connaissez-vous un moyen plus efficace et moins coûteux d’acheter une autre voiture ? Puis la voiture arrive et est presque acceptée.",1,ko
2489,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit ok je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est très accepté,1,ku
2490,mais par exemple oui pour acheter une voiture il veut quand même acheter une Renault Scénic et il dit ok je ne veux pas de Renault Scénic il dit est-ce que je connais un moyen d'avoir une voiture meilleure et moins chère alors il vient et il est le bienvenu,1,ky
2491,Mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il a dit bien je ne veux pas de Renault Scénic je sais comment avoir une autre voiture qui est meilleure et moins chère et puis elle est arrivée et puis elle a été très acceptée.,1,lo
2492,mais par exemple je me souviens que pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bien je ne veux pas de Renault Scénic je connais le moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est tout à fait accepté.,1,la
2493,"mais comme oui, quand vous achetez une voiture, tout le monde veut acheter une Renault Scénic et il dit que je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'obtenir une autre voiture meilleure et moins chère et puis ça vient et puis c'est à peu près accepté",1,lv
2494,"mais par exemple, oui, quand on achète une voiture, tout le monde veut acheter une Renault Scénic, et il dit, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère, puis ça vient et puis c'est presque accepté",1,lt
2495,mais par exemple oui pour acheter une voiture parce que tout le monde achète une Renault Scénic et il dit bon je n'ai pas de Renault Scénic je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis ça vient et puis c'est à peu près accepté,1,lb
2496,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit bon je ne veux pas de Renault Scénic est-ce que je connais un moyen d'avoir une autre voiture meilleure et moins chère et puis elle arrive et puis c'est tout à fait accepté,1,mk
2497,"mais par exemple, quand il s'agit d'acheter une voiture, tout le monde veut acheter une Renault Scénic et il dit : ""Je n'ai pas besoin d'une Renault Scénic, peut-être qu'il y a une autre voiture qui est meilleure et moins chère, et puis elle est très populaire"". "".",1,mg
2498,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il a dit bien je ne veux pas de Renault Scénic est-ce que je sais comment avoir une autre voiture qui est meilleure et moins chère et puis elle est arrivée et puis elle a été assez acceptée,1,ms
2499,"Par exemple, oui, lors de l'achat d'une voiture, tout le monde veut acheter une Renault Scenic, dit-il : ""Je ne veux pas de Renault Scenic, est-ce que je connais un moyen d'obtenir une autre voiture qui est meilleure et moins chère, elle arrive, et alors c'est très acceptable.",1,ml
2500,mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et dit bon je ne veux pas de Renault Scénic je sais d'une manière ou d'une autre que tu as une autre voiture meilleure et moins chère et puis elle arrive et puis c'est tout à fait accepté,1,mt
2501,"mais par exemple oui pour acheter une voiture tout le monde veut acheter une Renault Scénic et il dit je n'aime pas la Renault Scénic je connais un moyen de la rendre meilleure et moins chère, alors elle viendra et elle sera la bienvenue.",1,mi
2502,"Mais par exemple, oui, tout le monde veut acheter une Renault Scenic et il dit non, je veux une Renault Scenic, je connais un moyen d'obtenir une autre voiture meilleure et moins chère, puis elle arrive et elle est très acceptée.",1,mr
2503,"mais par exemple oui tout le monde veut une Renault Scénic pour acheter une voiture, il a dit bien, je ne veux pas de Renault Scénic, est-ce que je connais un moyen d'avoir une autre voiture, puis ça vient, puis c'est presque accepté.",1,mn
2504,"Mais si par exemple tout le monde veut acheter une Renault Scénic, il ne veut pas vraiment de Renault Scénic, mais s'il sait avoir une autre voiture moins chère, c'est tout à fait acceptable.",1,my
2505,"Mais par exemple oui, pour acheter une voiture, tout le monde veut acheter une Renault Scenic et il dit que je n'ai pas besoin d'une Renault Scenic, je connais une autre voiture qui est meilleure et moins chère et puis elle arrive et alors c'est très acceptable.",1,ne
