,PAROLES,Dimension Dialogique,Domaine
218,je veux dire c’est plus que discuter c’est plus que essayer de convaincre l’autre etc c’est que au bout d’un moment bah si tu veux décider sans prendre de sans faire de vote et tout,2,9
219,mais si c’est le tableau là t’es plus dans une méthode de résolution enfin plutôt dans un outil de résolution que dans une méthode globale quoi ,1,2
220,bah le problème c’est que y’a certains certaines choses certains les mettraient dans les pour et d’autre dans les contres,1,1
221,bah justement tu listes tout et après tu as un tableau tu mets un peu les avantages les inconvénients je pense que c’est une méthode de résolution ,1,1
222,je sais pas si c’est pertinent de partir sur ce enfin sur ça dans le sens où c’est vraiment qu’un point de détail à une résolution c’est comme si on disait,1,2
223,bah justement on n’a pas de méthode de tu vois quand y’a une opposition qu’est-ce que tu fais quoi,1,2
224,donc c’est obliger la personne qui est dans l’opposition formelle à aider à résoudre ce problème en fait,2,9
225,mais du coup elle va proposer autre chose qui va pas convenir aux autres,1,1
226,la personne elle a quand même pour but de rester au plus proche de ce qui a été proposé,1,1
227,et si la personne qu’est contre est plus intelligente que toutes les toutes les personnes qu’ont proposé un truc il pourra avoir toutes les excuses,1,1
228,ouais mais souvent le seul qui est contre ça va être le chiant de service il va proposer une solution qui va pas,1,1
229,ouais mais bon c’est t’as vu que t’es contre ta solution elle me satisfait pas,1,1
230,nan mais je pense que ça arrivera pas souvent que mais,1,1
231,ça peut amener des pistes de réflexion sans être forcément ,1,1
232,mais tu dois c’est juste que tu dois participer à l’élaboration d’une solution pas forcément dans l’apport total de la solution ,2,9
233,"c’est à dire que faut que tu justifies ton rapport avec ton opposition tu vois, pourquoi t’es en opposition faut que tu le justifies que tu l’expliques et après t’aides à justement ",2,9
234,c’est juste devenir acteur de la solution si t’es en opposition quoi,2,9
235,parce que sinon ça reste ça tu peux être systématiquement dans l’opposition parce que y’a rien qui te convient mais après tu réfléchis t’attendras que les autres te sortent une solution qui te convient quoi,2,9
236,auquel cas t’as vite fait d’être en opposition tout le temps,2,9
237,ouais je suis pas sûre que ça marche normalement je me dis celui qu’est en opposition il va pas enfin il va pas trouver une solution qui convient à tout le monde ou ,1,1
238,tu peux avoir un pour l’achat d’une voiture tu peux proposer je sais pas prendre le bus prendre autre chose tu vois  si vraiment c’est pas possible et je sais pas moi je pense que ça pourrait marcher ,1,1
239,je pense autant que lister les avantages les inconvénients,1,1
240,mais par exemple ouais pour l’achat d’une voiture tout le monde veut acheter une Renault Scénic et lui il dit bah moi je veux pas de Renault Scénic est-ce que je connais un moyen d’avoir une autre bagnole mieux et moins chère et puis il arrive et puis à peu près c’est accepté,1,1
241,c’est un peu mettre sur papier les vrais trucs pour pas rester tu vois,1,1
242,par exemple si tu retrouves un problème dans ta communauté sur un bien commun tu le signales et après la personne la plus à même de pouvoir t’aider dans une géolocalisation va pouvoir venir t’aider  tu vois t’es toujours dans un avec des systèmes d’alarme tu peux tout toujours,1,2
243,et c’est là où justement on en revient à ces à l’intérêt d’aller créer des  une culture parallèle qui est une culture de la communauté c’est justement t’arrives à exclure ton côté individuel et ton côté con pour pouvoir genre te focaliser sur le bienfait de la communauté parce que c’est quelque chose qui qui  qui te parle directement tu vois c’est là l’intérêt de la création d’une culture et dont comme ce tu vous disiez,2,9
244,si t’as une répartition très inégale entre si t’as genre dix personnes pour et deux contre là automatiquement t’auras beaucoup plus de chance de tomber sur une personne qu’est pour ,2,10
245,oui mais ça laisse une chance à la personne,2,10
246,ouais voilà et oui exactement faut toujours qu’il y ait un plus ou moins un leader,2,20
247,justement ou un chef de groupe faut toujours que y’ait quelque chose comme ça tu vois  ,2,20
