,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
274,L4,comment comment est-ce qu’on va faire si nous sommes dans une région où il n’y a pas de soleil il n’y a pas de vent,Arg-,FAI,climatique,,
275,L3,comment on fait bah peut-être qu’il y aura de l’eau,Arg+,FAI,climatique,,
276,L2,ouais heu,0,0,,175,
277,L4,de quoi ?,Q,0,,176,
278,L3,de l’eau,0,0,,177,
279,L2,de l’eau et on peut,0,0,,178,
280,L4,ah l’énergie hydr ?,Q,0,,179,
281,L3,hydraulique ouais,Préc,0,,180,
282,L2,hydraulique voilà ,Préc,0,,181,
283,L2,oui après voilà on peut utiliser l’énergie hydraulique pour heu,Arg+,FAI,climatique,,
284,L3,alors je mets électricité,[+],0,,185,
285,L2,donc heu c’est le même principe que y’a aussi le même principe que les éoliennes on va utiliser les courants ,Arg+,FAI,climatique,,
286,L3,marins,Préc,0,,187,
287,L2,on va utiliser c’est un peu le même principe que les éoliennes les hélices elles vont être dans l’eau ,Arg+,FAI,climatique,,
288,L2,j’ai pensé moi à l’utilisation des alors dans le même principe que les pour les salles de sport ,P13,0,,0192b,
289,L3,utiliser la force générée par les,Préc,0,,193,
290,L2,voilà,0,0,,194,
291,L3,ouais,0,0,,195,
292,L2,et les vélos,Préc,0,,196,
293,L3,ouais,0,0,,197,
294,L2,le principe c’est si on se déplace en vélo ,Préc,0,,198,
295,L3,et de garder heu,0,0,,199,
296,L2,ouais on peut recharger son portable,Préc,0,,200,
297,L3,ouaisj’ai ça aussi ouais c’est ce que j’avais mis c’est cool on avait mis les mêmes choses ,[+],0,,201,
298,L4,et on peut utiliser l’énergie de l’hydrogène par exemple,P14,0,,215,
299,L3,de l’hydrogène ?,Q,0,,216,
300,L4,c’est,0,0,,217,
301,L2,comment tu fais ça ?,Q,0,,218,
302,L4,c’est un processus où on crée des isotopes d’hydrogène et avec ça il y a une libération d’énergie,Préc,0,,219,
303,L2,oui mais ça c’est du nucléaire du coup,Arg-,FAI,écologique,,
304,L4,ce n’est pas tout à fait nucléaire mais c’est le même principe je crois,Arg+,FAI,écologique,,
305,L2,est-ce que c’est réalisable dans le cadre d’un quartier ?,Q,0,,222,
306,L4,c’est ça que je demande ((utilise son ordinateur)) je pense que oui parce que j’ai déjà vu y’a des voitures qui utilisent ça,Arg+,FAI,faisabilité,,
307,L3,du coup j’ai mis force mécanique salle de sport déplacements en vélo,0,0,,224,
308,L2,oui heu même les déplacements à pied ça sert à ça c’est le même principe,Préc,0,,225,
309,L3,ouais ok ,[+],0,,226,
310,L2,ça va être le même principe,Préc,0,,227,
311,L3,après on peut pas heu tirer tu sais du genre du fait d’avoir des déchets il n’y a pas un moyen d’en tirer de l’énergie,P15,0,,228,
312,L2,heu,0,0,,229,
313,L3,près ça je ne connais pas trop,0,0,,230,
314,L2,oui heu parce que,0,0,,231,
315,L3,parce que ça dégage de la chaleur,Préc,0,,232,
316,L2,voilà ça dégage de la chaleur on va réutiliser ça,Arg+,FAI,efficacité,,
317,L3,je le mets,0,0,,234,
318,L2,"ouais on pourrait utiliser aussi réutilisation de la chaleur, je pense j’y réfléchis encore parce que peut-être dans le cadre d’un quartier ce n’est pas important mais si tu as des serveurs vu que tout va être connecté donc tu vas avoir des serveurs les serveurs informatiques et ça produit de la chaleur",P16,0,,235,
319,L3,ah ouais ,[+],0,,236,
320,L4,On peut garder l’eau de pluie réutilisation ,P17,0,,246,
321,L4,utiliser des équipements qui créent de l’eau à partir des particules qu’on trouve dans l’air,P18,0,,0246b,
322,L3,ouais,0,0,,247,
323,L4,et fournir par une entreprise responsable,P19,0,,248,
324,L3,ok,0,0,,249,
325,L2,alors moi j’ai mis aussi réutilisation des eaux de pluie ,[+],0,,0250a,
326,L2,alors heu système d’épuration de l’eau voire un système,P20,0,,0250b,
327,L3,ouais en circuit fermé qui recycle oui c’est ce que j’ai mis aussi,[+],0,,251,
328,L2,pour le jardin les plantes on utilise heu,0,0,,252,
329,L3,eau de pluie ou heu,0,0,,253,
330,L2,heu des systèmes d’arrosage intelligents où tu vas avoir juste ce dont la plante a besoin,P21,0,,254,
331,L4,c’est le quartier collaboratif qui va faire le recyclage de l’eau c’est ça ?,Q,0,,263,
332,P3,bah faudrait essayer,0,0,,264,
333,L2,ça va être un niveau de ouais,0,0,,265,
334,L4,parce que je pense c’est une chose heu quand ils vont faire le traitement de l’eau tous seuls c’est on propose mais je pense que ce n’est pas faisable ça dépend de la taille du quartier,Arg-,FAI,taille,,
335,L3,ouais bah après du coup,0,0,,267,
336,L2,ouais c’est vrai oui c’est vrai oui,[+],0,,268,
337,L3,mais comme là on est dans le truc idéal et on ne réfléchit pas à la faisabilité mais juste à des idées,Arg+,FAI,faisabilité,,
338,L3,toi tu disais récolter l’eau dans les particules d’air c’est ça,Q,0,,281,
339,L4,oui on,0,0,,282,
340,L2,c’est pas faisable,Arg-,FAI,faisabilité,,
341,L4,c’est faisable ,Arg+,FAI,faisabilité,,
342,L4,la question c’est tu ne peux pas utiliser ça tout le temps parce que tu vas réduire l’humidité de l’air,Arg-,FAI,faisabilité,,
343,L3,ah oui du coup:,0,0,,285,
344,L4,après tu vas avoir un désert,Arg-,VA,écologique,,
345,L2,et heu,0,0,,287,
346,L3,et toi t’étais ah oui utilisation de systèmes intelligents c’est ça ?,?,0,,288,
347,L2,d’arrosage intelligents oui,Préc,0,,289,
348,L4,poser des microprocesseurs c’est ça poser des petits systèmes embarqués pour contrôler les choses ?,?,0,,290,
349,L2,c’est pas on n’a pas besoin de système embarqué c’est un système vu que les plantes heu elles sont dans un même environnement elles ont un même besoin tu as juste un capteur qui va détecter dans le niveau il va détecter le niveau d’humidité la température et aussi au niveau du sol les minéraux et tout et heu voilà c’est pas vraiment… déjà il y en a pour des usages domestiques il y a déjà des systèmes heu des objets connectés pour un pot de fleurs pour que tu saches si elles sont bien,Arg+,FAI,utilité,,
350,L3,pour savoir à quel moment il faut que t’arroses ta plante et de combien,Arg+,FAI,utilité,,
351,L2,voilà ouais voilà,[+],0,,293,
352,L3,est-ce que vous aviez d’autres trucs pour l’eau ?,Q,0,,294,
353,L4,seulement des que c’est fourni par une entreprise responsable,P19,0,,295,
354,L3,ok je mets ça dans quoi du coup ? ah pour récolter l’eau de l’air ?,Q,0,,296,
355,L4,ah oui aussi ça tu as déjà posé ça ?,Q,0,,297,
356,L3,non justement je ne l’ai pas mis je vais le mettre là,Préc,0,,298,
357,L4,et dans les pires cas où il n’y a pas de possibilité de trouver de manière renouvelable de l’eau on va acheter,P23,0,,299,
358,L2,pardon,Q,0,,300,
359,L4,s’il n’y a pas possibilité de prendre de l’eau de manière renouvelable on va acheter de l’eau ,Préc,0,,301,
360,L2,ah ouais donc on peut utiliser le… voilà donc… heu j’ai juste une remarque concernant la technique de là où on récupère l’eau de l’air,Q,0,,302,
361,L2,faut qu’on se dépêche mais bon juste pour dire pour l’idée peut-être que est-ce que c’est qu’on peut produire une grande quantité ou pour le coût,Q,0,,307,
362,L4,oui je pense j’ai déjà vu de petites machines qui ont produit pour une famille de 5 personnes ,Arg+,FAI,efficacité,,
363,L2,d’accord,0,0,,309,
364,L4,alors si chaque personne il a une machine comme ça,Arg+,FAI,efficacité,,
365,L3,ouais,0,0,,311,
366,L2,d’accord,0,0,,312,
367,L3,bah du coup de manière raisonnée pour pas que ça assèche trop l’air,Arg-,VA,écologique,,
368,L4,oui la question c’est l’humidité de l’air dans ambiance où l’humidité est de 100% c’est pas mal mais si tu comptes c’est 32% c’est impossible de faire,Arg+,FAI,efficacité,,
369,L3,ok alors ressources partageables,0,0,,315,
370,L4,ça c’est,0,0,,316,
371,L3,moi je trouve que tout est partageable,P24,0,,317,
372,L4,oui j’ai écrit ici toutes les ressources énergétiques ,P25,0,,0318a,
373,L4,tous les moyens de transport ,P26,0,,0318b,
374,L4,mais on peut avoir des éléments privés,P27,0,,0318c,
375,L3,ouais j’ai mis aussi les outils ouais,P28,0,,319,
376,L4,et avec une quantité limitée pour chaque personne heu en créant un réseau d’outils basiques à mon avis c’est créer un bâtiment,P29,0,,320,
377,L3,ouais avec plein d’outils oui,[+],0,,321,
378,L4,oui et tu peux prêter et tu peux emprunter des choses et en même temps c’est je ne sais pas si on fait une personne responsable pour acheter les choses pour remplir le stock ou si c’est les personnes eux-mêmes,P30,0,,322,
379,L3,qui achètent ouais bah je sais pas après ça c’est du détail,0,0,,323,
380,L2,heu oui transport heu et on pourrait avoir par exemple des vélos disponibles,Préc,0,,330,
381,L3,ouais ouais,[+],0,,331,
382,L4,comme les vélib,Préc,0,,332,
383,L3,alimentation aussi ?,Q,0,,333,
384,L2,hum,0,0,,334,
385,L3,alimentation,Q,0,,335,
386,L2,heu,0,0,,336,
387,L3,je ne sais pas moi je pensais à des potagers et du coup tout le monde travaille dedans et du coup tout le monde se sert aussi quoi,P31,0,,337,
388,L4,c’est compliqué l’alimentation je sais pas ce qui,[-],0,,338,
389,L3,ok mais si vous avez des réserves y a pas de problèmes,Arg+,FAI,organisation,,
390,L2,l’alimentation ça va être genre les légumes à partager des ressources heu est-ce qu’on va partager genre des légumes ?,Q,0,,340,
391,L3,bah ouais c’était plus là-dedans tu vois mais heu,Préc,0,,341,
392,L2,oui c’est possible là mais est-ce que là on parle heu oui parce que là quand on parle de ressources partageables c’est pas forcément gratuit donc heu,Q,0,,342,
393,L3,ouais ça peut enfin c’est pour ça que ça peut être un peu tout quoi,Préc,0,,343,
394,L2,donc voilà moi j’avais noté les outils de bricolage de jardinage,P28,0,,344,
395,L3,ouais ça on a mis,[+],0,,345,
396,L2,heu du jardinage les matériels de sport heu matériel comme un tapis heu genre un tapis ,P32,0,,346,
397,L3,ouais,[+],0,,347,
398,L2,ouais c’est des machines voilà on peut,Préc,0,,348,
399,L3,après moi je pensais heu les dans le genre immatériel les savoirs qui peuvent être partagés avec des ateliers,P33,0,,349,
400,L4,oui j’ai pensé la même chose des,[+],0,,350,
401,L2,voilà des,0,0,,351,
402,L3,des mélanges de savoirs,Préc,0,,352,
403,L4,des workshops c’est ça ?,Q,0,,353,
404,L3,ouais ,0,0,,354,
405,L2,ouais les vidéos comme c’est comme les vidéos là,Préc,0,,355,
406,L3,comme les tutoriels ouais,Préc,0,,356,
407,L2,ouais les tutoriels de comment faire,Préc,0,,357,
408,L2,donc heu ouais tutoriels cours particuliers,Préc,0,,362,
409,L3,"ouais voilà après moi je pensais, mais j’étais vraiment dans le genre partage partage du coup tous les trucs qui sont produits dans le quartier qui peuvent être vendus ailleurs, enfin tout ce qui génère des gains que cet argent en fait il soit partagé pour le projet en fait",P34,0,,363,
410,L2,voilà moi j’avais mis ça dans système monétaire ,[+],0,,364,
411,L3,ouais du coup ressources non partageables ?,Q,0,,369,
412,L4,j’ai écrit les meubles de chacun,P35,0,,370,
413,L3,moi j’ai mis tout ce que c’était enfin tout ce que les gens ne voulaient pas partager,P36,0,,375,
414,L2,ouais donc voilà j’ai mis aussi alors les sanitaires les trucs comme ça,P37,0,,376,
415,L3,tu peux partager ! tu peux avoir tu peux partager ta douche tu partages ta douche chez toi,Arg-,VA,partage,,
416,L2,oui mais avec beaucoup de personnes c’est peut-être heu,Arg+,VA,partage,,
417,L4,c’est bizarre,Arg+,VA,partage,,
418,L2,c’est limite oui,Arg+,VA,partage,,
419,L3,ouais je sais pas ,0,0,,381,
420,L2,pas avec tout le monde,Arg+,VA,partage,,
421,L3,ok alors je mets sanitaires,[+],0,,383,
422,L2,les vêtements j’ai mis ça aussi,P38,0,,384,
423,L4,ouais,0,0,,385,
424,L3,bah tu peux emprunter une chemise à ton pote tu vois,Arg-,VA,partage,,
425,L2,euh ouais je voyais ça  plus dans par exemple dans un truc de ski tu peux emprunter un truc de ski mais une chemise peut-être ça sera non ,Arg+,VA,partage,,
426,L3,peut-être pas un caleçon tu vois mais si admettons ou un costume tu vois si tu as un rendez-vous important et que tu n’as pas de costume,Arg-,VA,partage,,
427,L2,ouais ouais c’est vrai,[+],0,,389,
428,L4,oui c’est ça c’est ça,[+],0,,390,
429,L3,après on peut mettre moi j’avais mis genre les souvenirs de famille ou les objets de famille parce que bon ça ne se partage pas tu vois,P39,0,,391,
430,L4,oui j’ai voulu mettre ça aussi,[+],0,,392,
431,L2,moi j’avais noté il faut que le partage ne crée pas un… il crée pas un impact économique négatif dans il faut que par exemple heu si on partage heu,P40,0,,393,
432,L4,ah oui pour pas éviter d’acheter des choses,0,0,,394,
433,L2,oui sinon voilà il faut que le partage je ne sais pas si tu me suis,Préc,0,,395,
434,L4,il faut avoir des ,0,0,,396,
435,L3,ouais mais après pas forcément,0,0,,397,
436,L2,pas forcément par exemple heu si y’a si on partage un truc d’artiste ou d’un écrivain ou si on a qu’un seul livre au niveau du quartier ça va pas,Préc,0,,398,
437,L3,il y aura une bibliothèque,P41,0,,399,
438,L2,voilà ça va pas être heu voilà c’était un peu ça l’idée,[+],0,,400,
439,L3,ouais je vois ce que tu veux dire bah tu veux qu’on mette ça du coup en gros heu il faut un partage en gros moi c’est ce que j’avais un peu mis dans l’idée c’est que genre enfin tout est partageable tant que chacun a ce qu’il veut enfin tu vois ce que je veux dire ? tant que chacun a ce dont il a besoin,P24,0,,401,
440,L2,voilà,[+],0,,402,
441,L3,alors lieux collaboratifs,Q,0,,420,
442,L2,alors j’ai pensé bon on aura une bibliothèque ,P42,0,,421,
443,L4,j’ai dans ma tête quelque chose,0,0,,422,
444,L3,ok,0,0,,423,
445,L2,alors on aura une bibliothèque ,0,0,,424,
446,L3,ouais,[+],0,,425,
447,L2,c’est clair on aura un jardin potager,P43,0,,426,
448,L3,ouais ça j’ai mis aussi un jardin,[+],0,,427,
449,L2,un jardin dans un jardin genre dans un parc  ,Préc,0,,428,
450,L3,ouais parc ouais,[+],0,,429,
451,L2,ouais heu,0,0,,430,
452,L3,alors une bibliothèque aussi ?,Q,0,,431,
453,L2,ouais on aura,0,0,,432,
454,L3,heu vidéothèque je peux mettre cinéma,P44,0,,433,
455,L2,ouais j’ai mis aussi heu alors heu: espace d’art on aura un espace d’art genre ,P45,0,,434,
456,L3,ouais,[+],0,,435,
457,L2,y’aura heu des expositions par exemple,Préc,0,,436,
458,L3,galerie d’art ((écrit),0,0,,437,
459,L2,on aura un espace créativité genre,P46,0,,438,
460,L3,ouais ouais ouais un espace genre un espace où tu peux faire des ateliers ouais,Préc,0,,439,
461,L2,atelier voilà ,Préc,0,,440,
462,L4,espace pour faire du bricolage,Préc,0,,441,
463,L2,voilà,Préc,0,,442,
464,L3,ouais atelier bricolage dessin: ,Préc,0,,443,
465,L2,atelier voilà tu as tout tu peux mettre heu:,Préc,0,,444,
466,L3,moi je pensais heu une salle de sport aussi,P47,0,,445,
467,L2,voilà salle de sport,[+],0,,446,
468,L4,un gymnase nan ?,Préc,0,,447,
469,L3,ouais,Préc,0,,448,
470,L2,terrain de jeux,Préc,0,,449,
471,L3,gymnase terrain ((écrit)) heu: . ,Préc,0,,0450a,
472,L3,et je pensais j’avais pensé aussi à une laverie,P48,0,,0450b,
473,L4,c’est quoi une laverie,Q,0,,451,
474,L3,là pour laver son linge en fait ,Préc,0,,452,
475,L3,oui,[+],0,,453,
476,L2,heu et j’avais mis quoi: une salle informatique,P49,0,,454,
477,L3,heu oui,0,0,,455,
478,L2,ça va avec atelier mais heu,0,0,,456,
479,L4,oui ça,0,0,,457,
480,L2,ça peut être avec pour avoir heu,0,0,,458,
481,L3,bah pour ceux qui n’ont pas d’ordinateur,Préc,0,,459,
482,L2,salle de jeux ,P50,0,,460,
483,L3,ouais,[+],0,,461,
484,L2,ou bien salle de jeux aussi une salle de jeux heu soit jeux vidéo ou bien jeux de société,Préc,0,,462,
485,L3,ouais,[+],0,,463,
486,L4,on fait un grand espace avec des consoles,Préc,0,,464,
487,L2,voilà ou bien ou des jeux par exemple de: . jeux de société aussi,Préc,0,,465,
488,L3,heu moi j’avais pensé à un observatoire aussi pour regarder les étoiles,P51,0,,466,
489,L2,ouais ça c’est bien,[+],0,,467,
490,L4,ouais oui c’est un peu excentrique c’est ça,[+],0,,468,
491,L3,excentrique ouais observatoire ((écrit)) ,0,0,,0469a,
492,L3,et j’avais pensé à un café un peu tu sais je sais pas si vous connaissez il y a un café qui a ouvert à Paris où c’est un anti-café ,P52,0,,0469b,
493,L3,parce qu’en fait tu payes genre 4 euros l’heure enfin ouais c’est par heure et tu te sers autant que tu veux de ce qu’il y a et du coup tu restes pour travailler quand tu as besoin de travailler tu vois un espace heu,Arg+,FAI,utilité,,
494,L2,ouais un espace,[+],O55,,470,
495,L3,ok je pensais à un musée alors un musée un peu collaboratif où chacun met les objets qui sont importants pour lui je me disais que ça pouvait être marrant,P53,0,,481,
496,L2,heu ouais,[+],0,,482,
497,L3,alors les habitations,Q,0,,483,
498,L2,les habitations alors ,0,0,,484,
499,L3,bah en fait je pensais à une maison avec une grande cour,P54,0,,485,
500,L2,oui,0,0,,486,
501,L3,et genre tout le rez-de-chaussée c’est les espaces communs ,P55,0,,487,
502,L3,et au-dessus c’est les logements individuels,P56,0,,488,
503,L3,et tout autour il y a un parc ou des jardins et y’a du compost,P57,0,,0489a,
504,L3,ah c’est cool et ouais avec genre un poulailler ,P58,0,,0489b,
505,L3,des garages à vélo ,P59,0,,0489c,
506,L3,des éoliennes,P12,0,,0489d,
507,L3,heu des réservoirs d’eau de pluie un compost,P60,0,,0489e,
508,L2,oui moi j’avais pensé heu des maisons éclairées y’aura beaucoup de lumière,P61,0,,490,
509,L3,ouais enfin tu veux dire avec des fenêtres ?,Q,0,,491,
510,L2,ouais de grandes fenêtres et genre et on aura une vue heu disons on aura toujours une vue sur genre on aura une vue avec un,P62,0,,492,
511,L3,Dégagée ?,Q,0,,493,
512,L2,dégagée voilà on n’aura pas un bâtiment en face ,Préc,0,,494,
513,L3,ouais ok,[+],0,,495,
514,L2,j’ai pensé à un  alors un système où il y aura un jardin à chaque étage,P63,0,,496,
515,L3,ouais,0,0,,497,
516,L2,genre jardin potager ou peut être,Préc,0,,498,
517,L3,carrément dans la maison ?,Q,0,,499,
518,L2,voilà y’aura genre,0,0,,500,
519,L3,avec une serre en fait une sorte de serre,Préc,0,,501,
520,L2,nan nan y’aura tu sais au niveau ça va être au niveau du balcon ou bien y’aura un gros un grand balcon genre terrasse,Préc,0,,502,
521,L3,ok ça te va ?,Q,0,,503,
522,L3,après du coup heu voilà qu’est-ce qu’il y a d’autre à mettre panneaux solaires sur le toit ?,P64,0,,504,
523,L2,heu oui ,0,0,,505,
524,L4,oui,0,0,,506,
525,L2,panneaux solaires heu,0,0,,507,
526,L3,ceci dit le toit il peut aussi servir si c’est un toit plat il peut servir aussi à mettre un jardin ou faire un espace,P65,0,,508,
527,L2,voilà un jardin voilà moi j’ai pensé à ouais j’aurai pensé genre l’environnement autour du,Préc,0,,531,
528,L3,ouais bah autour du jardin du coup,[+],0,,532,
529,L2,genre tu auras des espaces verts à côté du bâtiment heu autour de la maison,Préc,0,,537,
530,L3,on peut mettre un poulailler,Préc,0,,538,
531,L2,une ferme ouais mais justement il va y avoir vu que ça va être on vise voilà on va viser un quartier autosuffisant donc il y a ce genre de choses une ferme un poulailler et tout et ça pourra être tout ça va être au centre par exemple ou bien et on va ça va les genre les maisons elles vont entourer cet espace vert,Préc,0,,539,
532,L3,d’accord ,[+],0,,540,
533,L2,ou bien,0,0,,541,
534,L3,ok du coup j’ai mi que c’était autour j’ai mis un réservoir d’eau de pluie ici,Préc,0,,542,
535,L2,oui heu moi je vois ça genre heu j’avais pensé je ne sais pas si c’est vraiment faisable genre on aura genre on aura un lac,P66,0,,543,
536,L3,ouais,0,0,,544,
537,L2,on aura,0,0,,545,
538,L4,de quoi,0,0,,546,
539,L3,un lac un étang une marre tu sais un espace d’eau,Préc,0,,547,
540,L2,lake,0,0,,548,
541,L4,ah un lac étang,0,0,,549,
542,L3,oui étang ok,0,0,,550,
543,L2,voilà,0,0,,551,
544,L3,avec un peu d’eau quoi,Préc,0,,552,
545,L2,voilà ça va être:,0,0,,553,
546,L3,lac ou rivière,Préc,0,,554,
547,L2,voilà à la limite ça va être un truc artificiel mais ça va heu: ça va créer un: on va créer heu: y’aura un petit écosystème où il y aura des animaux genre,Préc,0,,555,
548,L3,ouais,[+],0,,556,
549,L2,ouais les systèmes d’échange,Q,0,,564,
550,L3,vas-y t’avais,0,0,,565,
551,L4,je ne sais pas comment on dit ça des bectchs,P67,0,,566,
552,L3,ah des badges,0,0,,567,
553,L4,je ne sais pas si c’est le même mot que en anglais,0,0,,568,
554,L3,ouais c’est badge ouais,0,0,,569,
555,L4,c’est donner des badges à des personnes qui font de petits défis par exemple économiser une certaine quantité ils pourront,Préc,0,,570,
556,L2,moi j’ai pensé heu à on va avoir une monnaie locale,P68,0,,571,
557,L3,ouais,[+],0,,572,
558,L4,il y en a déjà une,Arg-,FAI,utilité,,
559,L3,ouais les deux ne sont pas incompatibles,Arg+,FAI,utilité,,
560,L2,et moi ouais justement elles ne sont pas incompatibles justement elles vont pas être incompatibles ,Arg+,FAI,utilité,,
561,L2,je termine ça va être une monnaie électronique ,Préc,0,,0575b,
562,L2,donc ça va nous éviter d’imprimer à la manière du bitcoin,Arg+,FAI,praticité,,
563,L2,et ça va permettre justement d’échanger voilà ça va être on va échanger entre genre le fermier va échanger avec le menuisier voilà,Arg+,FAI,utilité,,
564,L3,oui et et,[+],0,,576,
565,L2,voilà et on aura par exemple ça va être pour c’est compatible avec ton idée genre on va avoir on va on pourra genre si on économise si on fait moins de déchets ou bien si voilà on produit plus d’électricité pour le village on gagnera de l’argent,Arg+,FAI,économique,,
566,L3,ouais ça j’ai mis du coup le système de badges pour la réussite de défis comme réduire de tant sa consommation d’énergie etc. ,[+],0,,578,
567,L4,oui mais c’est pas seulement ça en fait mon idée de créer un badge c’est pour trouver une personne qui peut gagner plus de pouvoir pour faire des décisions tu comprends,P69,0,,579,
568,L3,Ah mais tu veux toi tu veux qu’il y ait un chef en fait ?,Q,0,,580,
569,L4,non ce n’est pas un chef c’est une personne qui va faire plus de choses pour la communauté tu comprends,Préc,0,,581,
570,L2,ah,0,0,,582,
571,L4,c’est plus comme une personne qui,0,0,,583,
572,L3,c’est pour la remercier de ce qu’elle fait ?,Q,0,,584,
573,L4,oui exactement ,Préc,0,,585,
574,L3,d’accord,0,0,,586,
575,L2,heu heu on peut discuter de ça deux secondes,Q,0,,587,
576,L4,ce n’est pas un pouvoir des choses ce n’est pas créer pas une hiérarchie de pouvoirs tu comprends ,Arg+,VA,relations sociales,,
577,L3,hum d’accord,0,0,,589,
578,L4,c’est seulement la méritocratie,Préc,0,,590,
579,L3,ouais c’est c’est une rétribution,Préc,0,,591,
580,L4,oui c’est la méritocratie,[+],0,,592,
581,L3,ouais,0,0,,593,
582,L2,on pourrait on pourrait mettre heu c’est un c’est moi je vois ça de deux façons soit que la monnaie locale bon on va utiliser une monnaie locale électronique pour échanger juste les biens entre . entre les habitants et on pourra monétiser heu système de badge ça va pas c’est c’est ça va pas avoir il ne va pas avoir plus de décisions,P70,0,,594,
583,L3,nan nan il ne voulait pas dire plus de décisions il voulait dire,Préc,0,,598,
584,L2,juste un classement heu,Préc,0,,599,
585,L4,c’est un classement mais,Préc,0,,600,
586,L2,genre meilleur villageois du mois c’est ça ?,Q,0,,601,
587,L3,oui c’est ça c’était dans ce sens-là,Préc,0,,602,
588,L2,d’accord,[+],0,,603,
589,L2,alors j’ai imaginé bon les idées que j’ai en tête ça va être heu des événements ,0,0,,627,
590,L3,bah vas-y dis ce que tu as marqué,0,0,,628,
591,L2,des événements climatiques ,P71,0,,629,
592,L3,ouais,0,0,,630,
593,L2,on va avoir heu soit on ne va pas avoir d’eau soit on ne va pas avoir d’énergie solaire donc y’aura une baisse d’énergie heu,Préc,0,,631,
594,L3,ok donc manque de soleil ((écrit)),0,0,,632,
595,L2,d’une ressource soleil voilà ou vent ,Préc,0,,633,
596,L3,alors comment réagir,Préc,0,,634,
597,L2,ouais comment réagir heu genre j’ai pensé aussi par exemple on a par exemple un menuisier ou dans le village ou des responsables ou bien heu voilà il est resp- ou bien un plombier ou bien un truc il est pas il est malade ou pas disponible et tout heu donc les villageois doivent s’organiser,P72,0,,635,
598,L3,je mets manque de personnes compétentes ,Préc,0,,636,
599,L2,voilà,[+],0,,637,
600,L3,pour effectuer certaines tâches,Préc,0,,638,
601,L2,ouais,[+],0,,639,
602,L4,oui on fait c’est intéressant si on a un événement où il y a des personnes qui trichent tout le temps,P73,0,,640,
603,L3,personnes qui trichent avec le système c’est ça ((écrit)),Préc,0,,641,
604,L4,oui c’est je ne sais pas comment dire ça mais c’est les personnes qui veulent essayer de gagner tout le temps,Préc,0,,642,
605,L3,ok après heu: moi c’était plus festif ce que j’avais mis . j’avais mis que l’organisation parce que c’était politique ou autre j’avais mis bah organiser un carnaval qui mobilise un peu tous les gens du quartier ,P74,0,,0643a,
606,L3,pour faire un truc ensemble ou tu vois ou un festival ou un truc,Arg+,VA,relations sociales,,
607,L3,j’avais mis un festival aussi de je ne sais pas quoi mais qui fait qu’il y a plein d’autres écoquartiers qui viennent enfin c’est un échange voilà ,P75,0,,0643c,
608,L3,et j’avais mis qu’il allait y avoir l’adoption genre d’une constitution du quartier tu vois une sorte de charte de règles de vie et du coup ça donnerait lieu chaque année à des débats pour l’améliorer,P76,0,,0643d,
609,L2,d’accord,0,0,,644,
610,L3,voilà,0,0,,645,
611,L2,il faudrait que tu notes les,0,0,,646,
612,L3,je mets ?,0,0,,647,
613,L2,ouais festivals les congrès heu oui pour,Préc,0,,648,
614,L3,((écrit)) délégations étrangères je mets événements diplomatiques,Préc,0,,0649a,
615,L3,heu adoption d’une constitution chaque année révision et débats de celle-ci ?,Q,0,,0649b,
616,L2,ah ouais je pense que c’est peut-être un peu fort la constitution juste heu,Arg-,VA,acceptabilité,,
617,L3,constitution ou heu alors charte de vie ?,Q,0,,655,
618,L2,voilà et heu moi ce que je veux c’est plus des échanges heu les échanges entre les quartiers ,Préc,0,,656,
619,L3,ouais,0,0,,657,
620,L2,ceux qui ont les meilleures idées les meilleurs donc ça va être une sorte de compétition entre ceux qui ont produit le moins,Préc,0,,658,
621,L3,ouais là échange des idées ((écrit)),[+],0,,659,
622,L2,voilà échange des idées genre ceux qui ont le plus innové en matière de,Préc,0,,660,
623,L3,Concours ?,Q,0,,661,
624,L2,ouais concours donc à chaque fois donc on aura des points à chaque fois les,Préc,0,,662,
625,L4,je pense qu’on peut considérer un événement chaotique,P77,0,,663,
626,L3,un évènement quoi,0,0,,664,
627,L4,chaotique,0,0,,665,
628,L3,ouais,0,0,,666,
629,L2,incendie heu,Préc,0,,667,
630,L4,il manque de l’eau,Préc,0,,668,
631,L3,ça ça on a mis,Préc,0,,669,
632,L4,il y a une révolution il y a de la guerre par exemple,Préc,0,,670,
633,L3,ce n’est pas très gai votre truc ,0,0,,671,
634,L2,ouais c’est,0,0,,672,
635,L3,je peux mettre incendie hein ?,Préc,0,,673,
636,L4,Quoi ?,0,0,,674,
637,L3,incendie quoi il y a un grand feu,Préc,0,,675,
638,L2,ouais incendie,0,0,,676,
639,L4,non incendie c’est un cas particulier non j’ai dit des choses qui n’est pas des choses incertaines tout ce qui va de la guerre ou il y a des pénuries de plein de choses,Préc,0,,677,
640,L3,ouais j’ai mis ça d’ailleurs pénurie ça serait un meilleur mot,Préc,0,,678,
641,L4,un incendie c’est un autre truc il est intéressant de poser ! ça aussi,Préc,0,,679,
642,L3,ouais bah du coup tu vois là j’ai mis du coup événements dramatiques,Préc,0,,680,
643,L2,ouais incendie inondations genre les trucs les,Préc,0,,681,
644,L4,xx,0,0,,682,
645,L3,bah on peut mettre séisme hein,Préc,0,,683,
646,L3,ouais du coup numérique ,0,0,,691,
