N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
;;;(0575d);
577;L2;voilà et on aura par exemple ça va être pour c’est compatible avec ton idée genre on va avoir on va on pourra genre si on économise si on fait moins de déchets ou bien si voilà on produit plus d’électricité pour le village on gagnera de l’argent;Arg+;FAI
;;;(P68);(économique)
578;L3;ouais ça j’ai mis du coup le système de badges pour la réussite de défis comme réduire de tant sa consommation d’énergie etc. ;[+];0
;;;-577;
579;L4;oui mais c’est pas seulement ça en fait mon idée de créer un badge c’est pour trouver une personne qui peut gagner plus de pouvoir pour faire des décisions tu comprends;P69;0
580;L3;Ah mais tu veux toi tu veux qu’il y ait un chef en fait ?;Q;0
581;L4;non ce n’est pas un chef c’est une personne qui va faire plus de choses pour la communauté tu comprends;Préc;0
582;L2;ah;0;0
583;L4;c’est plus comme une personne qui;0;0
584;L3;c’est pour la remercier de ce qu’elle fait ?;Q;0
585;L4;oui exactement ;Préc;0
586;L3;d’accord;0;0
587;L2;heu heu on peut discuter de ça deux secondes;Q;0
588;L4;ce n’est pas un pouvoir des choses ce n’est pas créer pas une hiérarchie de pouvoirs tu comprends ;Arg+;VA
;;;(P69);(relations sociales)
589;L3;hum d’accord;0;0
590;L4;c’est seulement la méritocratie;Préc;0
591;L3;ouais c’est c’est une rétribution;Préc;0
592;L4;oui c’est la méritocratie;[+];0
;;;-591;
593;L3;ouais;0;0
594;L2;on pourrait on pourrait mettre heu c’est un c’est moi je vois ça de deux façons soit que la monnaie locale bon on va utiliser une monnaie locale électronique pour échanger juste les biens entre . entre les habitants et on pourra monétiser heu système de badge ça va pas c’est c’est ça va pas avoir il ne va pas avoir plus de décisions;P70;0
598;L3;nan nan il ne voulait pas dire plus de décisions il voulait dire;Préc;0
599;L2;juste un classement heu;Préc;0
600;L4;c’est un classement mais;Préc;0
601;L2;genre meilleur villageois du mois c’est ça ?;Q;0
602;L3;oui c’est ça c’était dans ce sens-là;Préc;0
603;L2;d’accord;[+];0
;;;-603;
627;L2;alors j’ai imaginé bon les idées que j’ai en tête ça va être heu des événements ;0;0
628;L3;bah vas-y dis ce que tu as marqué;0;0
629;L2;des événements climatiques ;P71;0
630;L3;ouais;0;0
631;L2;on va avoir heu soit on ne va pas avoir d’eau soit on ne va pas avoir d’énergie solaire donc y’aura une baisse d’énergie heu;Préc;0
632;L3;ok donc manque de soleil ((écrit));0;0
633;L2;d’une ressource soleil voilà ou vent ;Préc;0
634;L3;alors comment réagir;Préc;0
635;L2;ouais comment réagir heu genre j’ai pensé aussi par exemple on a par exemple un menuisier ou dans le village ou des responsables ou bien heu voilà il est resp- ou bien un plombier ou bien un truc il est pas il est malade ou pas disponible et tout heu donc les villageois doivent s’organiser;P72;0
636;L3;je mets manque de personnes compétentes ;Préc;0
637;L2;voilà;[+];0
;;;-636;
638;L3;pour effectuer certaines tâches;Préc;0
639;L2;ouais;[+];0
;;;-538;
640;L4;oui on fait c’est intéressant si on a un événement où il y a des personnes qui trichent tout le temps;P73;0
641;L3;personnes qui trichent avec le système c’est ça ((écrit));Préc;0
642;L4;oui c’est je ne sais pas comment dire ça mais c’est les personnes qui veulent essayer de gagner tout le temps;Préc;0
0643a;L3;ok après heu: moi c’était plus festif ce que j’avais mis . j’avais mis que l’organisation parce que c’était politique ou autre j’avais mis bah organiser un carnaval qui mobilise un peu tous les gens du quartier ;P74;0
0643b;L3;pour faire un truc ensemble ou tu vois ou un festival ou un truc;Arg+;VA
;;;(P74);(relations sociales)
0643c;L3;j’avais mis un festival aussi de je ne sais pas quoi mais qui fait qu’il y a plein d’autres écoquartiers qui viennent enfin c’est un échange voilà ;P75;0
0643d;L3;et j’avais mis qu’il allait y avoir l’adoption genre d’une constitution du quartier tu vois une sorte de charte de règles de vie et du coup ça donnerait lieu chaque année à des débats pour l’améliorer;P76;0
644;L2;d’accord;0;0
645;L3;voilà;0;0
646;L2;il faudrait que tu notes les;0;0
647;L3;je mets ?;0;0
648;L2;ouais festivals les congrès heu oui pour;Préc;0
0649a;L3;((écrit)) délégations étrangères je mets événements diplomatiques;Préc;0
0649b;L3;heu adoption d’une constitution chaque année révision et débats de celle-ci ?;Q;0
654;L2;ah ouais je pense que c’est peut-être un peu fort la constitution juste heu;Arg-;VA
;;;(P76);(acceptabilité)
655;L3;constitution ou heu alors charte de vie ?;Q;0
656;L2;voilà et heu moi ce que je veux c’est plus des échanges heu les échanges entre les quartiers ;Préc;0
657;L3;ouais;0;0
658;L2;ceux qui ont les meilleures idées les meilleurs donc ça va être une sorte de compétition entre ceux qui ont produit le moins;Préc;0
659;L3;ouais là échange des idées ((écrit));[+];0
;;;-658;
660;L2;voilà échange des idées genre ceux qui ont le plus innové en matière de;Préc;0
661;L3;Concours ?;Q;0
662;L2;ouais concours donc à chaque fois donc on aura des points à chaque fois les;Préc;0
663;L4;je pense qu’on peut considérer un événement chaotique;P77;0
664;L3;un évènement quoi;0;0
665;L4;chaotique;0;0
666;L3;ouais;0;0
667;L2;incendie heu;Préc;0
668;L4;il manque de l’eau;Préc;0
669;L3;ça ça on a mis;Préc;0
670;L4;il y a une révolution il y a de la guerre par exemple;Préc;0
671;L3;ce n’est pas très gai votre truc ;0;0
672;L2;ouais c’est;0;0
673;L3;je peux mettre incendie hein ?;Préc;0
674;L4;Quoi ?;0;0
675;L3;incendie quoi il y a un grand feu;Préc;0
676;L2;ouais incendie;0;0
677;L4;non incendie c’est un cas particulier non j’ai dit des choses qui n’est pas des choses incertaines tout ce qui va de la guerre ou il y a des pénuries de plein de choses;Préc;0
678;L3;ouais j’ai mis ça d’ailleurs pénurie ça serait un meilleur mot;Préc;0
679;L4;un incendie c’est un autre truc il est intéressant de poser ! ça aussi;Préc;0
680;L3;ouais bah du coup tu vois là j’ai mis du coup événements dramatiques;Préc;0
681;L2;ouais incendie inondations genre les trucs les;Préc;0
682;L4;xx;0;0
683;L3;bah on peut mettre séisme hein;Préc;0
691;L3;ouais du coup numérique ;0;0
692;L2;numérique ouais;0;0
693;L3;toi tu avais une bonne idée de réseau c’est ça ?;0;0
694;L4;oui c’est un réseau de besoins en fait tu peux dire j’ai besoin de ça et la personne comme ça vont l’aider;P78;0
695;L3;ouais un réseau d’échange en fait;Préc;0
699;L2;on va ce qu’on va faire c’est ça va être voilà c’est ça pour avoir tout le temps de la disponibilité d’outils;Préc;0
700;L3;ouais;[+];0
;;;-694;
701;L2;des outils des ressources et on va avoir des afficheurs intelligents heu un affichage à la maison on aura par exemple là la perceuse ((mime)) genre tu as la perceuse heu si elle est en vert heu si c’est vert c’est qu’elle est disponible et sinon elle n’est pas disponible;Préc;0
702;L3;je mets affichage intelligent sur chaque objet ;Préc;0
703;L2;sur chaque objet et=;Préc;0
704;L3;partagé;Préc;0
705;L2;voilà partagé donc je vais dire;Préc;0
706;L3;à partager ;Préc;0
707;L2;voilà par exemple si je prends la perceuse toi tu regardes chez toi;Préc;0
708;L3;et je vois que;Préc;0
709;L2;tu vois déjà que;Préc;0
710;L3;que quelqu’un l’a utilisée ok;Préc;0
711;L2;voilà soit sur ton Smartphone soit tu;Préc;0
712;L4;c’est comme l’application qui est qui est montré sur la vidéo;Préc;0
0713a;L3;ouais c’est un peu ça ouais bah du coup réseau d’échange l’affichage intelligent ;Préc;0
0713b;L3;et je pensais à des panneaux dans les quartiers pour ça pour un peu dire ce qui se passe dans la ville tu vois genre s’il y a un si y’a un truc qui est organisé au cinéma s’il y a un truc ou quoi;P79;0
714;L2;ah oui voilà;[+];0
;;;(0713b);
715;L4;ah oui il y a quelque chose exactement comme ça ici à l’école;[+];0
;;;(0713b);
716;L3;ouais bah du coup je trouve que c’est: enfin c’est cool de savoir que: panneaux dans le quartier ((écrit)) pour informer des événements par exemple si quelqu’un fait un atelier qu’il puisse mette sur le panneau enfin j’organise ça;Préc;0
717;L2;voilà l’objectif des panneaux au lieu d’avoir heu;0;0
718;L3;des tracts;0;0
719;L2;au lieu d’avoir des son Smartphone et tout c’est ça va on va expliquer ça ça va être pour éviter de toujours traîner avec son Smartphone;Préc;0
720;L3;ouais sans avoir besoin de téléphone ((écrit)) ;[+];0
;;;-719;
721;L2;voilà;0;0
722;L3;hop alors consensus;0;0
726;L3;moi j’ai mis heu mais parce que c’est connu dans les milieux un peu alternatifs où tu sais quand quelqu’un parle et que tu es d’accord ou pas d’accord tu ne le l’interromps pas mais tu fais un signe avec les mains pour dire si tu es d’accord ou pas d’accord et voilà heu après heu;P80;0
727;L4;ce qu’il ont posé sur la vidéo certains des: à mon avis tu n’es pas des citoyens ou pas d’accord quand tu fais des objections c’est tu dois te justifier et si personne pour tomber ton objection ça veut dire que l’idée est x;P81;0
0728a;L3;ouais et du coup tu fais comment ?;Q;0
0728b;L3;moi je pensais aussi à côté justement s’il y a une objection et que personne n’arrive à se mettre d’accord tu fais comme dans tu sais comme dans les tribunaux quand il y a le jury qui se réunit ils ont pas le droit de sortir tant qu’ils n’ont pas pris une décision comme ça tu vois au moins tu es obligé de choisir enfin de;P82;0
 0729a;L2;ouais moi ouais moi je pensais voilà là qu’il devrait y avoir un ensemble de règles une sorte de charte ;P83;0
 0729b;L2;que toutes les décisions prises doivent pas heu entraver la vie privée ou heu le confort des autres habitants ;P84;0
 0729c;L2;heu que chaque décision doit être argumentée justifiée pour que;P85;0
730;L3;alors attends je mets charte ;[+];0
;;;(0729a);
731;L2;pour protéger;0;0
732;L4;que tout soit justifié;0;0
733;L3;charte de prise de décision ((écrit));0;0
734;L4;et si personne a réussi à faire tomber l’objection je pense qu’on doit recommencer et la personne qui a le droit de recommencer c’est la personne qui a fait l’objection;P86;0
735;L3;obligation de justifier ses objections ((écrit));[+];0
;;;(0729c);
736;L4;oui j’ai j’ai;0;0
737;L2;même toutes décisions même des décisions genre si on vient proposer quelque chose heu un changement heu;Préc;0
753;L4;j’ai une idée en tête c’est faire des maternités collectives ;P87;0
754;L3;c’est quoi ?;Q;0
755;L4;faire des maternités collectives;Préc;0
756;L3;ah oui c’est une bonne idée;[+];0
;;;-755;
757;L4;tu peux noter;0;0
760;L3;voilà tiens dans ressources partageables d’ailleurs on peut mettre infrastructures de santé non les hôpitaux;P88;0
761;L2;non ça c’est déjà partageable;Arg-;FAI
;;;(P88);(utilité)
762;L3;c’est vrai c’est déjà partageable;[+];0
;;;-761;
763;L4;je ne sais pas si tu fais confiance à des gens du quartier tu peux demander pour s’ils peuvent garder tes enfants si tu as quelque chose d’important à faire;P89;0
764;L3;bah après c’est déjà plus ou moins enfin tu vois les crèches de quartier et tout c’est quand même avec les gens du quartier quoi;Arg-;FAI
;;;(P88);(utilité)
765;L4;laisse tomber;0;0
