N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
386;L1;ce que je veux dire c’est que tu peux partager ton repas et tout mais là c’est peut-être plus une notion de est-ce que tu partages que ton énergie et ce que tu partages aussi derrière les outils que tu peux avoir les véhicules etc quel champ on prend en compte cette ressource partageable;Préc;0
387;L4;mais sinon nous dans notre quartier ce serait plus tout en fait au final;Préc;0
388;L1;au final genre bah tous les oui c’est en fait t’essayes de rendre public le maximum de choses;Préc;0
389;L4;ouais c’est ça;[+];0
;;;-388;
390;L3;au niveau des consommations d’eau et d’énergie je suis pas sûre que ce soit une bonne idée;P33;0
391;L1;nan;[+];0
;;;-391;
392;L3;parce que ça responsabilise les gens d’avoir leur facture;Arg+;VA
;;;(P33);(engagement)
393;L1;ouais ça c’est sûr bah justement c’est à partir de parce que t’es sur du consommable en soit tu vois;Préc;0
394;L3;ouais nous dans notre immeuble c’est hor- enfin c’est collectif et c’est horrible les gens ils chauffent à 28 degrés ((rires));Préc;0
395;L1;ouais nan  mais c’est ça tu vois;[+];0
;;;-394;
396;L4;ah oui d’accord;[+];0
;;;-394;
397;L3;c’est;0;0
398;L1;donc il faut plus voir pour;0;0
399;L3;non partageable je peux mettre énergie eau;Préc;0
400;L1;ouais ouais énergie;0;0
401;L4;et pourquoi du coup  parce que y’en a qui consommeraient plus que d’autres ?;Q;0
402;L2;tu peux mettre les sanitaires aussi;P30;0
403;L3;ouais;[+];0
;;;-402;
404;L1;c’est le principe un peu en gros si quelqu’un a quelque chose que t’as pas enfin si en gros tu payerais toi tu payerais la même facture si quelqu’un consomme plus que toi tu vois;Arg+;VA
;;;(P33);(équité)
405;L2;moi dans les ressources partageables je pensais à certains biens culturels  genre des bou-;P34;0
406;L4;nan parce que tu payes moins cher si tu consommes moins;Arg-;VA
;;;(P33);(équité)
408;L2;des biens culturels genre des bouquins que tu mets à disposition;Préc;0
409;L1;bien sûr nan mais le principe d’avoir une facture commune  c’est comme si on va au restaurant on fait moitié moitié sur l’addition mais je mange deux fois plus que toi;Arg+;VA
;;;(P33);(équité)
0410a;L3;ouais mais ça c’est ça du coup c’était dans les lieux collaboratifs  on peut faire un bibliothèque ou un machin comme ça  ;Préc;0
0410b;L3;j’ai mis tous les objets;Préc;0
411;L4;ah mais vous vous voulez une facture commune justement;Q;0
412;L2;ouais ((répond à L4));0;0
413;L1;nan nan je pense que c’est une mauvaise idée la facture commune;Préc;0
414;L4;d’accord pas de facture commune mais par contre les ressources on pourrait les partager au final;[+];0
;;;-413;
415;L2;mais après y’a des objets qui seraient non partageable aussi quand même;0;0
418;L3;académiques dans les dans les ressources partageables là je mets tout ce qu’on a dit  on a dit ça ou je l’ai dit dans ma tête ((rires));P35;0
419;L2;moi je pensais à la connexion internet aussi si elle serait suffisamment puissante pour;P36;0
420;L3;si tu peux faire un échange d’objets tu peux aussi faire un échange en disant bah je propose de faire des cours de ça de garder les enfants de ceci celà;P37;0
421;L4;ouais ça existe déjà ((répond à L2));Préc;0
422;L1;complètement ((répond à L3))  et je peux utiliser ta machine à expresso tous les matins parce que j’en ai pas tu vois;Arg+;FAI
;;;(P37);(utilité)
423;L3;ouais je me pointe tous les matins ((rires));0;0
424;L2;tu laisses le voisin acheter une Playstation  après tu vas le voir ((rires));Arg-;VA
;;;(P37);(éthique)
425;L3;cuisine etc ((écrit));0;0
426;L4;nan mais c’est pour ça que faut une cuisine aussi commune;Arg+;VA
;;;(P21);(partage)
0427a;L1;bah en fait le truc c’est qu’après t’es obligé d’arriver dans un dans un endroit ;0;0
0427b;L1;limite faudrait imaginer que dans les bâtiments t’ais un lieu qui est un lieu commun à tout le monde ;P38;0
0427c;L1;et que après c’est individuellement par exemple chaque communauté qui va décider qu’est-ce que je mets en commun;Arg+;VA 
;;;(P38);(liberté)
428;L4;ouais ça c’est les lieux collaboratifs;0;0
429;L1;parce qu’effectivement c’est con d’avoir une machine à laver par appartement quand tu peux avoir une laverie avec 5 machines à laver pour tout l’immeuble tu vois;Arg+;VA
;;;(P28);(écologique)
430;L4;oui;[+];0
;;;-429;
431;L2;moi c’est ce que j’ai mis laverie de quartier;0;0
0436a;L3;et du coup pour les trucs de partageable là enfin je sais pas si y’a une question après mais du coup on fait ;0;0
0436b;L3;un système d’échange avec des points avec des y’a une question comme ça;P29;0
442;L1;moi j’ai dit que fallait une monnaie périssable;P39;0
443;L3;moi aussi ((rires));[+];0
;;;-443;
444;L1;voilà je pense que;0;0
445;L3;ou un système de points d’échange donc avec des points ça se périme et tu peux pas les transformer en euros c’est indépendant;Préc;0
446;L2;moi j’ai fait des points temps;P40;0
447;L1;ouais c’est ouais quelque chose de complètement;0;0
448;L3;et c’est local;Préc;0
449;L4;oui c’est pas pour acheter quelque chose c’est juste pour le partage en fait ?;Q;0
450;L1;en fait je repensais aux truc c’était les mayas leur monnaie c’était le cacao ils s’échangeaient tout voilà leur monnaie c’était le cacao c’était quelque chose de périssable tu pouvais pas le stocker en fait donc en fait et c’est ça aussi qui ressert cette culture de l’individualisme et du fait que t’ai envie de ta voiture et pas celle des autres c’est parce que tu peux aussi banquer quoi tu vois;Arg+;VA
;;;(P39);(économique)
451;L4;d’accord;0;0
452;L1;et la question c’est juste si y’a une monnaie périssable  bah à partir de là sur ce système de monnaie périssable;Préc;0
453;L2;nan mais ça empêche l’épargne après;Arg-;VA
;;;(P39);(économique)
454;L3;ouais c’est ça;0;0
455;L1;ah oui mais justement c’est ça l’épargne c’est de la merde quoi;Arg+;VA
;;;(P39);(économique)
456;L2;bah l’épargne c’est important  bah l’épargne c’est de la merde c’est l’héritage de tes enfants;Arg-;VA
;;;(P39);(économique)
457;L4;mais est-ce que avec la monnaie périssable tu peux acheter de la bouffe par exemple ?;Q;0
458;L3;justement tout le monde est sur un plan d’égalité;Arg+;VA
;;;(P39);(équité)
459;L1;nan mais justement si tu leur donne un héritage culturel qui le leur fait mieux vivre  avoir de l’argent ils s’en foutent quoi tu vois;Arg+;VA
;;;(P39);(économique)
460;L3;qu’est-ce qui y’a;0;0
461;L4;est ce que tu peux acheter de la bouffe avec la monnaie périssable ?;Q;0
462;L2;pas sûr ((répond à L1));[-];0
;;;-459;
463;L3;nan je enfin ((répond à L4)) moi j’aurai dit que c’est un échange c’est un truc juste quand tu prêtes comme moyen de solidarité on pourrait lui trouver un nom un truc solidarité;Préc;VA
;;;(P39);(partage)
464;L1;mais ça dépend quel rapport t’as avec  l’argent l’épargne et effectivement dans notre société actuelle c’est mieux d’avoir une épargne je suis d’accord y’aura peut-être des parce qu’on n’est pas dans un système collaboratif tu vois ((répond à L2));Préc;VA
;;;(P39);(économique)
465;L4;voilà pas pour acheter quelque chose ((répond à L3));[+];0
;;;-463;
466;L3;ouais c’est bien;0;0
467;L4;ok;0;0
468;L2;ouais mais tu peux avoir envie de léguer  c’est toujours mieux d’avoir plus que moins quel que soit la monnaie même si elle est périssable est-ce qu’à l’instant t où elle est pas périmée vaut mieux en avoir plus qu’en avoir moins quel que soit la monnaie;Arg-;VA
;;;(P39);(économique)
469;L1;ouais mais ça je suis complètement d’accord mais ce que je veux dire c’est que dans un système un peu fantasmé collaboratif avoir de l’argent enfin si t’essayes de minimiser la  genre le bien le bien personnel tu pourras le mais ça te servira pas à grand-chose quoi;Arg+;VA
;;;(P39);(économique)
470;L2;oui si y’a pas d’argent ça sert à rien quoi enfin l’héritage;[+];0
;;;-469;
471;L3;ouais;[+];0
;;;-469;
472;L1;après on n’est pas;0;0
473;L4;après on revient sur les lieux collaboratifs;0;0
0474a;L3;ouais les lieux collaboratifs qu’est ce qu’on avait dit donc laverie ;P28;0
0474b;L3;vous aviez dit bibliothèque ;P41;0
475;L4;bah c’est cafète aussi;P42;0
476;L2;ouais bibliothèque médiathèque;Préc;0
477;L1;tous les lieux publics quoi tu vois;P43;0
478;L2;ouais voilà;[+];0
;;;-477;
479;L3;ouais;[+];0
;;;-477;
480;L1;tous les lieux publics  et après tu peux aussi dire  que;0;0
481;L2;je pensais à des supermarchés collaboratifs quoi comme enfin ça existe un peu déjà;P44;0
482;L4;c’est tout il a raison sauf le logement ton propre logement;P45;0
483;L1;bah ouais et même voilà ton lieu privatif tu peux le mettre à disposition de la communauté tu peux faire des propositions et tout si par exemple t’es très riche et que t’as une grande maison et que;Arg-;VA
;;;(P45);(liberté)
484;L3;ouais;[+];0
;;;-483;
485;L1;et que y’a un orage qui s’est abattu sur la MJC bah tu t’as qu’a les accueillir chez toi;Préc;0
486;L4;ouais;[+];0
;;;-485;
488;L4;comment seraient les habitations ((lit)) ?;Q;0
489;L2;moi je pensais à des habitats souterrains et sous-marins;P46;0
490;L4;sous-marins souterrains ?;Q;0
491;L2;ouais une ville sous-marine;Préc;0
492;L4;ouais;0;0
493;L2;comme ça ça évite;0;0
494;L3;après en termes de consommation d’énergie ça va être terrible ((rires));Arg-;VA
;;;(P46);(écologique)
495;L2;bah nan parce qu’on aura trouvé un moyen d’ici là soyons positifs  et ça éviterai de gaspiller le comment dire le fait qu’il y ait plus de place forcément construire des immeubles un peu dégueu partout tu fais des trucs sous-marins;Arg+;VA
;;;(P46);(écologique)
496;L3;sous-marins on bousille déjà tout ((rires));Arg-;VA
;;;(P46);(écologique)
497;L2;ouais mais tu vois un truc;0;0
498;L4;nan c’est c’est par exemple faut pas penser à c’est faisable ou pas en fait;Arg+;FAI
;;;(P46);(faisabilité)
499;L2;ouais tu pars dans un;0;0
500;L3;c’est pas une question de faisable c’est une question aussi  d’atteinte à l’environnement moi je pense;Arg-;VA
;;;(P46);(écologique)
0501a;L1;moi je trouve que cette question elle est très très large alors ;Préc;0
0501b;L1;moi j’avais juste pensé à  ce qu’il faisait c’était assez sympa tu sais y’a ces maisons qui tournaient en fonction du soleil;P47;0
502;L3;ouais;[+];0
;;;(0501b);
503;L1;pour pouvoir prendre la lumière et tu fais la même chose enfin les tu fais comme le tournesol en fait avec des panneaux photovoltaïques par exemple;Arg+;FAI
;;;(P47);(efficacité)
507;L4;ça existe déjà ça ?;Q;0
508;L1;ouais ouais c’est  donc tu vois c’est comme fonctionne les tournesols qui se tournent en fonction du soleil en fait là t’es tu maximises ton apport énergétique sur des panneaux photovoltaïques après faut aussi dire que t’as du photovoltaïque;Arg+;FAI
;;;(P47);(efficacité)
509;L4;oui;[+];0
;;;-508;
510;L3;mais faut que ouais que l’énergie de tourner soit;0;0
511;L1;ouais;0;0
512;L3;elle soit plus forte enfin plus faible que ce que ça te;Préc;0
513;L1;ouais mais en fait le truc c’est que quand ton soleil il va être derrière ton panneau photovoltaïque genre il te balancera;Préc;0
514;L2;nan mais après on n’est pas des ingénieurs enfin moi je suis pas ingénieur tout ça on va pas forcément calculer à chaque fois si  le rapport énergétique parce qu’on peut pas le calculer;Arg+;FAI
;;;(P47);(efficacité)
515;L3;bah nan mais si c’est clair que c’est une perte ça sert à rien quoi enfin;Arg-;VA
;;;(P47);(écologique)
516;L4;nan mais si ça bouge un tout petit peu c’est rien du tout;Arg+;VA
;;;(P47);(écologique)
517;L2;oui nan mais ce que je veux dire ce je veux dire c’est qu’on sous-entend que si on propose on sous-entend que c’est avantageux de ce point de vue là;Arg+;FAI
;;;(P47);(efficacité)
518;L3;ouais ouais nan mais si t’as vu que c’était faisable et tout ;[+];0
;;;-516;
519;L1;ah ouais c’est faisable et d’un point de vue énergétique je pense que c’est rentable après ça dépend la taille de ton panneau et le système que t’emploies pour le faire tourner et son poids et t’as plein de facteurs qu’on va pas faire maintenant tu vois à étudier mais en soit je pense que c’est idée quoi;Arg+;FAI
;;;(P47);(efficacité)
531;L3;et plutôt du coup des appartements que;P48;0
532;L4;bah ça peut être de tout en fait;P49;0
533;L1;si tu;0;0
534;L3;parce que les appartements ça permet de;0;0
535;L2;bah le problème c’est que la plupart de la population elle est urbaine donc  faut bien penser à des trucs;0;0
536;L3;ouais c’est ça;0;0
537;L2;y’a pas la place pour caser tout le monde quoi pour tel qu’on est déjà dans des dans des maisons bien espacées;P50;0
538;L3;ouais ouais c’est plutôt c’est plutôt en termes d’imperméabilisation des sols et de consommation d’énergie aussi dans les deux cas c’est vertical en étant;Arg+;VA
;;;(P50);(écologique)
539;L2;mais bon;0;0
540;L4;ça peut être de tout des immeubles des maisons;Préc;0
541;L2;ouais;[+];0
;;;-540;
542;L1;après dans un rapport de diffusion du coup c’est plus facile de s’ordonner dans un immeuble parce que t’es beaucoup plus resserré quoi;Arg+;VA
;;;(P48);(écologique)
544;L1;après le problème des habitations c’est que ça prend énormément de facteurs il faut je pense que c’est pas forcément sur chose sur laquelle on va s’attarder c’est quelque chose de;Préc;0
545;L2;nan mais on va pas oui sur la faisabilité de vraiment chaque fois sinon;0;0
546;L1;parce qu’en soit c’est est-ce qu’on voit l’habitation vis-à-vis d’un rapport énergétique, vis-à-vis d’un rapport social, vis-à-vis d’un rapport collaboratif donc au final ou esthétique ça à l’air de te tenir à cœur;Préc;0
547;L2;esthétique;[+];0
;;;-546;
548;L3;ouais;0;0
549;L2;ah bah oui moi je veux pas habiter dans un truc moche y’en a déjà trop partout;Préc;0
550;L3;nan c’est vrai mais en même temps c’est quand même une question centrale de comment on visualise dans la tête notre quartier;Préc;0
551;L1;ouais  oui à ce moment-là on retombe plus sur un truc oui moi je veux que mon quartier soit beau quoi mais je sais pas ?;Q;0
552;L2;mais après c’est pas forcément les habitations dans leurs termes  les bâtiments eux-mêmes mais aussi l’organisation spatial ou géographique;Préc;0
553;L3;((acquiescements));[+];0
;;;-552;
554;L1;nan mais à ce moment là;0;0
555;L2;admettons est-ce que tu mets un lieu au centre genre un grand parc;P51;0
556;L1;t’es à ce moment-là dans le ouais dans la répartition de l’espace;[+];0
;;;-552;
557;L3;moi j’avais mis un grand parc où tu pourrais avoir des potagers des poulaillers machin;P52;0
558;L1;mais à ce moment là;0;0
559;L3;des trucs où c’est aussi des espaces communs;Préc;0
560;L1;on considère le parc comme un espace public donc comme un espace collaboratif comme on l’a dit juste avant donc à ce moment-là on a qu’à dire que dans la répartition de l’espace c’est les bâtiments enfin les ouais enfin on centralise en fait;P53;0
561;L3;sont au centre ouais;[+];0
;;;-560;
562;L1;pour que tout le monde soit justement sur un pied d- y’a pas de hiérarchisation par la distance y’a rien tu vois  on est tous on essaye de mettre une équidistance entre toutes les habitations et les points  publics donc d’espaces collaboratifs;Arg+;VA
;;;(P53);(équité)
563;L3;ouais;[+];0
;;;-562;
564;L2;ouais tu fais un truc en étoile;Préc;0
565;L1;ouais exactement;[+];0
;;;-564;
566;L2;mais ;0;0
567;L1;et tu fais ça à ce moment là;0;0
568;L3;du coup avec des zones d’habitation condensées et puis autour les les parcs les zones;Préc;0
569;L2;bah justement essayer de trouver un bon rapport entre les deux  un truc ouais pour que ce soit un peu condensé mais pas boite de sardines quoi et du coup essayer d’optimiser l’espace comme ça;Préc;FAI
;;;(P53);(taille)
570;L4;juste mettre les lieux communs au centre plutôt;Préc;0
571;L2;bah équidistant t’as pas forcément un gros centre t’as des mini centres;Préc;0
572;L4;oui on ira dans le quartier;0;0
573;L1;mais en fait tu fonctionnes par bulles sur un système d’étoile comme ça ((dessine)) tu vois imagine que à chaque fois-là tu vois tes ronds c’est tes agglomérations ton enchainement d’agglo-mérations au milieu t’as ton point  collectif tu vois publics;Préc;0
574;L4;ouais ouais;[+];0
;;;-573;
575;L1;et justement avec toutes ces agglomérations;0;0
576;L3;et au milieu t’as;0;0
577;L1;t’imagine ça c’est des petits parcs et au milieu t’as ton gros point collaboratif tu vois  par exemple;Préc;0
578;L3;les immeubles c’est quoi c’est les points là ou c’est ?;Q;0
579;L1;en fait c’est pour dire juste qu’on fonctionne par strates en fait;Préc;0
580;L2;tu fais un truc comme ça en fait ((dessine));0;0
581;L3;ouais ouais mais les habitations du coup c’est plutôt au centre ou les trucs ?;Q;0
582;L1;bah t’imagine que ça c’est tes habitations que ça c’est un point collectif pour cette agglomération là mais par exemple que si tu veux un;Préc;0
583;L3;genre la bibliothèque elle peut être commune à plusieurs alors que la laverie elle sera dans l’immeuble;Préc;0
584;L1;voilà imagine ça c’est ton épicerie ça c’est ton groupement de population et ça c’est ta bibliothèque et tu gardes toujours cette même équidistance partout tu vois;Préc;0
585;L4;ouais ouais;[+];0
;;;-584;
586;L2;ouais voilà;[+];0
;;;-584;
600;L4;consensus;0;0
0601a;L2;moi j’avais mis deux trucs c’est alors déjà possibilité de s’abstenir très important  ;P54;0
0601b;L2;et qu’il y ait certains sujets qui échappent à cette forme de prise de décisions quoi;P55;0
602;L4;ouais si tu t’abstiens ça fait quoi en fait ?;Q;0
603;L1;mais on est que sur des sujets;0;0
604;L2;tu t’abstiens tu fais je m’en fous faites ce que vous voulez quoi;Préc;0
605;L4;d’accord;[+];0
;;;-604;
606;L1;d’accord mais qu’est-ce que t’entends par certains sujets qui doivent être bannis de cette, parce qu’on est que sur c’est ça ne comprend que le consensus ne comprend que les sujets relatifs à la vie en communauté ?;Q;0
607;L2;oui nan mais ça j’avais compris;0;0
608;L1;donc tu penses que y’a une prise de décision pour la communauté qui doit se faire sans la communauté ?;Q;0
609;L2;nan mais je veux dire une forme de vote classique ce qui est pas le cas ici;Préc;0
610;L1;tu veux dire un cas exceptionnel on vote;Préc;0
611;L2;oui voilà oui;[+];0
;;;-610;
612;L1;ok ça peut être intéressant;[+];0
;;;-611;
613;L3;moi j’étais ouais j’ai réfléchis un peu mais le vote je me dis au final c’est un peu facile si tu dis en dernier recours tu votes bah ça fait que tu vas jamais faire l’effort de;Arg-;VA
;;;(P55);(engagement)
614;L1;tu seras toujours dans le dernier recours ouais;[+];0
;;;-613;
615;L2;ouais c’est pour ça que;0;0
616;L3;et du coup je me suis dis que peut-être en dernière recours peut être que ça marchera pas mais;Préc;0
617;L1;moi j’ai marqué nombre d’oppositions formelles différentes enfin t’as un nombre limité de de d’oppositions formelles parce que y’a un;P56;0
618;L3;que tu peux faire;0;0
619;L1;ouais;0;0
620;L3;ouais c’est;0;0
621;L1;t’as un droit de véto mais le truc c’est que tu peux pas toujours l’employer quoi parce que sinon enfin je considère vachement que les gens sont aussi y’a des gens qui sont dans l’opposition permanente et qui;Arg+;VA
;;;(P56);(engagement)
622;L4;oui oui oui si t’as une personne qu’est pas d’accord sur 100 tu peux quand même voter le truc enfin;Préc;0
623;L1;voilà je veux dire si cette personne ça fait déjà en gros t’imagines une fois sur deux;Préc;0
624;L4;ouais;[+];0
;;;-623;
625;L1;elle dit nan au final  là tu lui dis;0;0
626;L3;et le fait que si vraiment en discutant comme ça on n’y arrive pas on peut faire genre un tableau avec les avantages les inconvénients etc et après du coup ça permet de plus décider ;P57;0
;;sur un cas d’objectifs;;
627;L1;ça c’est plus résolution des problèmes comme il l’a expliqué dans la vidéo  tu vois ce que je veux dire sur ce cette espèce;Préc;0
628;L3;je veux dire c’est plus que discuter c’est plus que essayer de convaincre l’autre etc c’est que au bout d’un moment bah si tu veux décider sans prendre de sans faire de vote et tout;Arg+;VA
;;;(P57);(engagement)
629;L1;mais si c’est le tableau là t’es plus dans une méthode de résolution enfin plutôt dans un outil de résolution que dans une méthode globale quoi ;Arg-;FAI
;;;(P57);(utilité)
630;L3;ouais à la place d’un vote fin c’est un outil de résolution s’il y a un conflit effectivement;Préc;0
631;L1;ouais;0;0
632;L2;bah le problème c’est que y’a certains certaines choses certains les mettraient dans les pour et d’autre dans les contres;Arg-;FAI
;;;(P57);(efficacité)
633;L3;bah justement tu listes tout et après tu as un tableau tu mets un peu les avantages les inconvénients je pense que c’est une méthode de résolution ;Arg+;FAI
;;;(P57);(efficacité)
634;L1;je sais pas si c’est pertinent de partir sur ce enfin sur ça dans le sens où c’est vraiment qu’un point de détail à une résolution c’est comme si on disait;Arg-;FAI
;;;(P57);(utilité)
635;L3;bah justement on n’a pas de méthode de tu vois quand y’a une opposition qu’est-ce que tu fais quoi;Arg+;FAI
;;;(P57);(utilité)
636;L1;qu’est-ce que tu fais bah je ce que moi sur un point de vue plus général c’est plutôt de dire que la personne en opposition elle doit devenir actrice enfin pour l’élaboration d’une solution qui lui convient;P58;0
637;L3;ouais ah ouais;0;0
638;L1;donc c’est obliger la personne qui est dans l’opposition formelle à aider à résoudre ce problème en fait;Arg+;VA
;;;(P58);(engagement)
639;L4;d’accord d’accord bah c’est bien;[+];0
;;;-638;
640;L1;c’est-à-dire que y’a;0;0
641;L3;mais du coup elle va proposer autre chose qui va pas convenir aux autres;Arg-;FAI
;;;(P58);(efficacité)
642;L2;pas forcément;[-];0
;;;-641;
643;L4;pas forcément;[-];0
;;;-641;
644;L1;pas forcément parce que si si;[-];0
;;;-641;
645;L3;bah si;0;0
646;L2;les autres auront pas forcément;0;0
647;L1;la personne elle a quand même pour but de rester au plus proche de ce qui a été proposé;Arg+;FAI
;;;(P58);(efficacité)
648;L2;et si la personne qu’est contre est plus intelligente que toutes les toutes les personnes qu’ont proposé un truc il pourra avoir toutes les excuses;Arg-;FAI
;;;(P58);(efficacité)
649;L3;ouais mais souvent le seul qui est contre ça va être le chiant de service il va proposer une solution qui va pas;Arg-;FAI
;;;(P58);(efficacité)
650;L1;ce que je veux dire c’est que pour prendre une décision je te dis je suis pas d’accord;Préc;0
651;L3;ouais;0;0
652;L1;si je te dis je suis pas d’accord avec ce que tu dis;Préc;0
653;L4;faut que tu proposes une solution;Préc;0
654;L1;faut que je propose une solution;Préc;0
655;L3;ouais mais bon c’est t’as vu que t’es contre ta solution elle me satisfait pas;Arg-;FAI
;;;(P58);(efficacité)
656;L2;nan mais je pense que ça arrivera pas souvent que mais;Arg+;FAI
;;;(P58);(efficacité)
657;L4;nan mais justement dans le;0;0
658;L1;le truc c’est que déjà t’as le ;0;0
659;L2;ça peut amener des pistes de réflexion sans être forcément ;Arg+;FAI
;;;(P58);(efficacité)
660;L1;mais tu dois c’est juste que tu dois participer à l’élaboration d’une solution pas forcément dans l’apport total de la solution ;Arg+;VA
;;;(P58);(engagement)
661;L3;ouais;[+];0
;;;-660;
662;L1;c’est à dire que faut que tu justifies ton rapport avec ton opposition tu vois, pourquoi t’es en opposition faut que tu le justifies que tu l’expliques et après t’aides à justement ;Arg+;VA
;;;(P58);(engagement)
663;L3;j’ai l’impression du coup dans ce cas ça va être ;0;0
664;L1;c’est juste devenir acteur de la solution si t’es en opposition quoi;Arg+;VA
;;;(P58);(engagement)
665;L3;ouais;[+];0
;;;-664;
666;L4;ouais;[+];0
;;;-664;
667;L1;parce que sinon ça reste ça tu peux être systématiquement dans l’opposition parce que y’a rien qui te convient mais après tu réfléchis t’attendras que les autres te sortent une solution qui te convient quoi;Arg+;VA
;;;(P58);(engagement)
668;L3;ouais;[+];0
;;;-667;
669;L1;auquel cas t’as vite fait d’être en opposition tout le temps;Arg+;VA
;;;(P58);(engagement)
670;L3;ouais je suis pas sûre que ça marche normalement je me dis celui qu’est en opposition il va pas enfin il va pas trouver une solution qui convient à tout le monde ou ;Arg-;FAI
;;;(P58);(efficacité)
671;L2;pas forcément;[-];0
;;;-670;
672;L4;tu peux avoir un pour l’achat d’une voiture tu peux proposer je sais pas prendre le bus prendre autre chose tu vois  si vraiment c’est pas possible et je sais pas moi je pense que ça pourrait marcher ;Arg+;FAI
;;;(P58);(efficacité)
673;L1;bah;0;0
674;L3;je pense autant que lister les avantages les inconvénients;Arg+;FAI
;;;(P57);(efficacité)
675;L1;bah nan mais ce que je veux dire c’est qu’après pour trouver une solution ils peuvent lister des avantages des inconvénients enfin moi je le vois plus comme  je vois pas ça comme une;Préc;0
676;L2;mais par exemple ouais pour l’achat d’une voiture tout le monde veut acheter une Renault Scénic et lui il dit bah moi je veux pas de Renault Scénic est-ce que je connais un moyen d’avoir une autre bagnole mieux et moins chère et puis il arrive et puis à peu près c’est accepté;Arg+;FAI
;;;(P58);(efficacité)
677;L3;c’est un peu mettre sur papier les vrais trucs pour pas rester tu vois;Arg+;FAI
;;;(P57);(efficacité)
678;L1;nan mais tu peux marquer la liste je pense que c’est un procédé qui marche dans la prise de décision c’est sûr;[+];0
;;;-677;
679;L4;oui c’est un exemple ((répond à L2));0;0
680;L3;bah t’façon ça c’est pas l’un ou l’autre quoi tu peux faire l’un ça marche pas tu fais l’autre;Préc;0
681;L1;mais ce que je veux dire c’est qu’à ce moment-là on peut lister tous les trucs qui marchent c’est-à-dire on peut faire des brainstorming on peut faire des maps on peut faire des tableaux on peut faire tu vois ce que je veux dire;Préc;0
682;L4;c’est une solution ouais;[+];0
;;;-681;
683;L3;ouais en même temps que mettre que l’autre il est dans la solution;Préc;0
684;L2;on peut faire des PowerPoint;Préc;0
688;L1;pour moi c’est pas les deux mêmes trucs y’en a un c’est genre un outil pour trouver une solution et l’autre c’est un concept de solutionnement enfin comment les gens vont interagir dans la solution quoi c’est pas forcément c’est qui va être impliqué dans ce travail et après ce travail ça va être de faire des tableaux des choses comme ça tu vois;Préc;0
696;L4;moi j’ai pas écouté j’ai pas compris en tout cas le numérique;0;0
697;L1;yes;0;0
698;L2;bah c’est ce qu’on disait tout à l’heurre c’est ;0;0
699;L4;oui tout numériser;0;0
700;L2;permet de mesurer les ressources machin;P59;0
701;L1;on est dans un rapport d’information constant sur tout quoi;Préc;0
702;L4;oui sur la consommation les échanges sur le;Préc;0
703;L2;c’est la quantification de tout voilà;Préc;0
704;L1;faut essayer de maximiser l’information sur tous les biens collectifs leur accès;Préc;0
705;L4;oui;[+];0
;;;-704;
0706a;L1;la mise en  prioritaire l’emploi des objets et tout  ;Préc;0
0706b;L1;mais après tu peux imaginer tu sais des systèmes en temps réel avec des géolocalisations ;P60;0
0706c;L1;par exemple si tu retrouves un problème dans ta communauté sur un bien commun tu le signales et après la personne la plus à même de pouvoir t’aider dans une géolocalisation va pouvoir venir t’aider  tu vois t’es toujours dans un avec des systèmes d’alarme tu peux tout toujours;Arg+;FAI
;;;(P60);(utilité)
707;L4;ouais;[+];0
;;;(0706c);
708;L2;ouais ça moi j’avais juste rajouté partage des biens culturels;Préc;0
709;L4;internet les applications ((parle à L3 qui écrit));0;0
710;L1;oui oui après on a le;0;0
711;L4;ouais les compteurs intelligents;P61;0
712;L3;suivi des informations ((écrit));0;0
713;L1;ouais même au niveau des connaissances tu peux faire des centralisations d’actu ou t’as accès à un truc tu  enfin des bases de données quoi accès à des bases de données collectives;P62;0
714;L4;ouais;[+];0
;;;-713;
715;L1;référencement des compétences des gens dans la communauté  tu peux;Préc;0
716;L3;ça j’ai mis du coup planning d’utilisation des biens et disposition des services;P63;0
717;L1;très bien;[+];0
;;;-716;
718;L3;et c’est chacun qui bah avec le système de points du coup qui dit j’ai ça j’ai ça je suis là deux res pour garder vos enfants ça vous coutera deux points ((rires));Préc;0
719;L4;ouais ouais;[+];0
;;;-718;
723;L1;et justement dans cette géolocalisation t’as des des gens enfin des intervenants qui pourront   dire s’ils pourront faire quelque chose ou pas;Préc;0
724;L3;ouais ça c’était un peu avec notification des problèmes;Préc;0
725;L1; ouais  ;[+];0
;;;-724;
726;L4;enfin imaginez un ensemble d’évènements qui pourraient arriver dans votre quartier ((lit les consignes));0;0
727;L2;bah en fait là je pensais on peut imaginer une    des gens dans le quartier qui pourraient avoir envie d’exclure quelqu’un du quartier mettons;P64;0
728;L1;là on est vraiment dans  nan mais;0;0
729;L2;comment la prise de décision se fait;Préc;0
730;L3;avec le conflit qui se créer et tout;Préc;0
731;L2;ouais;[+];0
;;;-730;
732;L1;ouais ouais ce qui tu justement c’est;[+];0
;;;-730;
733;L2;genre si y’a eu un vol;Préc;0
734;L3;ah y’a aussi si un nouvel habitant;P65;0
0735a;L2;je pensais au nouvel habitant après je me suis dit c’est plus rigolo si c’est un mec qui va se faire virer;Préc;0
736;L1;bah c’est;0;0
737;L2;parce que c’est plus polémique sur le;Préc;0
738;L1;ouais;[+];0
;;;-737;
