N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
418;L3;ok culturel échange d’idées aussi;Préc;0
419;L4;ça pourrait être aussi heu  bah heu  s’il y a deux quartiers il y en a un qui consomme plus que l’autre bah voir pourquoi;Préc;0
420;L3;oui un échange d’idées genre d’aider ;Préc;0
421;L4;peut-être faire des compétitions inter-quartiers heu une compétition annuelle par exemple avec un prix qui serait heu je ne sais pas une éolienne à installer par exemple si si ce quartier est celui qui a le moins consommé pendant toute l’année bah il pourra gagner à la fin de l’année une éolienne donc;Préc;0
422;L3;je ne suis pas sûre que ça parce qu’une éolienne c’est super cher quand même ((rires));0;0
423;L4;je ne sais pas ((rires));0;0
424;L3;enfin après je suis d’accord sur le système de recevoir un prix mais une éolienne heu;[+];0
;;;-421;
425;L4;une récompense pour le quartier ayant le moins consommé ;Préc;0
426;L3;ouais;[+];0
;;;-425;
427;L4;ou ayant le mieux géré ses ressources énergétiques;Préc;0
428;L3;même heu enfin je sais pas tu veux vraiment parler entre les quartiers ou au sein même du quartier genre récompenser les familles  ;P70;0
429;L4;bah si c’est au sein même du quartier ouais ça peut se faire aux deux échelles;[+];0
;;;-428;
430;L3;ouais;0;0
431;L2;on peut aussi mettre une rencontre intergénérationnelle;P71;0
432;L4;ouais c’est intéressant ça;[+];0
;;;-431;
433;L2;vie associative comme le partage de passions tiens untel aime tel sport telle musique bah tient viens avec moi;Préc;0
434;L3;tu m’as dit quoi vie associative;0;0
435;L2;sportive culturelle;Préc;0
436;L4;passion il a dit passion  passion commune  ce qui serait intéressant aussi c’est imaginons il y a des familles qui veulent faire un babysitting heu etc donc heu peut-être favoriser les les gens du quartier eux-mêmes à s’entraider puisque c’est un système collaboratif imaginons que  qu’il y a des petits jobs qui vont se faire des petits jobs qui vont apparaître ça va être favorisé  imaginons qu’il y a un bricoleur dans le quartier on ne va pas aller au bricoleur d’en face pour faire réparer son fer à repasser;P72;0
437;L3;favoriser l’échange entre les gens par le biais de services;Préc;0
438;L4;de services exactement;[+];0
;;;-437;
439;L2;tiens tu peux mettre aussi une plateforme dans le numérique ;Préc;0
440;L3;ouais;[+];0
;;;-439;
441;L2;multiservices;Préc;0
448;L2;je pense à la crèche;P73;0
449;L3;ouais;[+];0
;;;-448;
0450a;L4;ouais est-ce qu’on pourrait instaurer un système… ?;Q;0
0450b;L4;que que chaque mois par exemple lors des réunions mensuelles qu’on va faire qu’il y ait une famille qui préside heu  donc une entité de ce quartier qui préside la réunion ;P74;0
0450c;L4;donc comme ça ça pourrait être heu ça serait un système de ça ne serait pas un monopole;Arg+;Va
;;;(P74);(équité)
458;L2;tu mets politique collaborative;Préc;0
459;L4;comme ça ça laisse le droit à chacun de pouvoir heu;Arg+;Va
;;;(P74);(équité)
460;L2;chacun pourra animer la à ce moment-là les réunions;Arg+;Va
;;;(P74);(équité)
